Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total ontarget attempt_Total,total big chances saved_Total,total goals_Total,total assists_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total ontarget attempt_p90,total big chances saved_p90,total goals_p90,total assists_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total ontarget attempt_TotalPR,total big chances saved_TotalPR,total goals_TotalPR,total assists_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total ontarget attempt_p90PR,total big chances saved_p90PR,total goals_p90PR,total assists_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Salzburg,bonj6qc7po4anunhydmjmi6g5,24vsicnsc44o2mr9jk0qjvb2t,H. Tabaković,Haris Tabakovic,32,Attacker,Bosnia and Herzegovina,Striker,7.0,10.0,0.0,17.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,119.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,62.96,0.0,0.0,0.0,66.67,50.0,66.67,0.0,0.3401610752823222,0.0,0.0,1.0,0.02385149,0.0,2.0,2.0,0.0466321799999999,6.0,5.294117647058823,7.563025210084033,0.0,12.857142857142858,1.512605042016807,0.0,2.26890756302521,2.26890756302521,0.0,0.0,0.7563025210084033,0.7563025210084033,1.512605042016807,0.7563025210084033,0.0,7.563025210084033,0.0,0.0,0.0,0.0,1.512605042016807,0.0,0.0,0.0,0.0,0.0,62.96,0.0,0.0,0.0,66.67,50.0,66.67,0.0,0.2572646787849496,0.0,0.0,0.7563025210084033,0.0180389420168067,0.0,1.512605042016807,1.512605042016807,0.0352680352941175,4.53781512605042,ST,52,21,28,28,38,5,24,36,16,24,14,10,10,47,33,45,12,17,19,36,43,52,22,43,52,52,41,28,36,17,83,88,83,19,24,7,17,33,24,26,53,41,24,19,76,52,28,62,52,5,38,66,16,24,24,14,14,62,33,86,12,17,19,36,69,52,22,43,52,52,41,28,36,17,83,88,83,19,48,7,17,48,31,26,72,52,38,52,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,2ep16uxfa2j2pqw2ky8rsgo44,K. Konaté,Karim Konaté,22,Attacker,Côte d'Ivoire,Striker,20.0,38.0,5.0,57.0,4.0,5.0,13.0,9.0,4.0,0.0,1.0,2.0,6.0,2.0,0.0,194.0,12.0,1.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,83.82,71.43,100.0,100.0,38.46,46.15,57.14,0.0,1.703116228193495,0.3911582350288698,3.0,8.0,0.2343730499999999,3.0,9.0,13.0,0.44283489,30.0,9.278350515463918,17.628865979381445,2.31958762886598,26.443298969072167,1.855670103092784,2.31958762886598,6.030927835051546,4.175257731958763,1.855670103092784,0.0,0.4639175257731959,0.9278350515463918,2.783505154639176,0.9278350515463918,0.0,5.567010309278351,0.4639175257731959,0.4639175257731959,0.0,0.4639175257731959,2.31958762886598,0.0,0.9278350515463918,0.0,0.0,0.0,83.82,71.43,100.0,100.0,38.46,46.15,57.14,0.0,0.790105466687704,0.1814651605804035,1.3917525773195878,3.711340206185567,0.1087297654639174,1.3917525773195878,4.175257731958763,6.030927835051546,0.2054388664948453,13.917525773195877,ST,93,93,98,97,62,95,100,97,97,24,14,26,40,64,33,71,40,50,19,84,93,52,81,43,52,52,90,91,98,100,34,71,69,19,100,83,86,97,97,93,97,100,97,98,93,90,93,93,62,90,100,100,97,24,10,24,31,66,33,69,31,48,19,86,93,52,79,43,52,52,90,91,98,100,34,71,69,19,100,86,79,97,97,90,93,100,93,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,36di67wn0rmx79vlwbst3rjhm,M. Kjærgaard,Maurits Kjærgaard,23,Midfielder,Denmark,Midfielder,43.0,40.0,5.0,82.0,0.0,1.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,135.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,90.11,50.0,10.0,0.0,40.0,22.22,0.0,100.0,0.3619413499287669,0.1856230199769466,1.0,3.0,0.06333723,3.0,8.0,4.0,0.1473923899999999,36.0,28.666666666666668,26.666666666666668,3.333333333333333,54.66666666666666,0.0,0.6666666666666666,3.333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,2.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,90.11,50.0,10.0,0.0,40.0,22.22,0.0,100.0,0.2412942332858446,0.123748679984631,0.6666666666666666,2.0,0.0422248199999999,2.0,5.333333333333333,2.6666666666666665,0.0982615933333332,24.0,CM/AM,89,59,61,67,17,13,69,52,85,56,35,30,4,13,46,48,19,17,30,50,80,52,48,41,52,52,78,33,37,17,83,11,22,94,63,37,35,30,19,63,54,22,26,56,93,81,81,89,17,15,89,59,96,63,48,44,7,13,63,57,31,17,35,65,93,52,48,41,52,52,78,33,37,17,83,11,22,94,81,56,56,44,37,72,81,28,33,81,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,52rchap28rfs3r9xacg42dzbo,V. Zabransky,Valentin Zabransky,19,Defender,Austria,Defender,100.0,95.0,7.0,195.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,3.0,213.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,95.12,63.64,0.0,0.0,0.0,64.29,57.14,20.0,0.1265931105579499,0.037003890835509,0.0,3.0,0.0637928899999999,1.0,15.0,14.0,0.3235495399999998,143.0,42.25352112676056,40.140845070422536,2.9577464788732395,82.3943661971831,1.6901408450704225,0.8450704225352113,0.4225352112676056,0.4225352112676056,0.0,0.0,0.0,0.0,3.8028169014084505,2.9577464788732395,1.267605633802817,1.267605633802817,0.0,0.0,0.4225352112676056,0.0,0.0,0.8450704225352113,0.0,0.0,0.0,0.0,95.12,63.64,0.0,0.0,0.0,64.29,57.14,20.0,0.0534900467146267,0.0156354468319052,0.0,1.267605633802817,0.026954742253521,0.4225352112676056,6.338028169014084,5.915492957746479,0.1367110732394365,60.42253521126761,CB,71,100,45,95,40,90,43,55,38,40,31,29,45,26,52,74,21,36,19,48,38,100,48,48,52,52,100,71,48,36,38,76,62,19,43,67,38,83,86,74,86,83,86,95,90,95,43,95,48,95,38,52,38,40,31,29,43,19,43,76,21,36,19,48,38,100,48,48,52,52,100,71,48,36,38,76,62,19,52,67,38,81,86,71,86,86,86,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,72gykk4phjme27eiribg0xwfe,F. Krätzig,Frans Krätzig,23,Defender,Germany,Defender,44.0,47.0,6.0,90.0,3.0,6.0,2.0,2.0,0.0,0.0,4.0,4.0,12.0,6.0,0.0,168.0,8.0,4.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,94.74,85.71,20.0,75.0,100.0,63.16,75.0,66.67,0.2763330324601667,0.5671768735381724,0.0,5.0,0.1424779199999999,1.0,7.0,8.0,0.4314702100000001,53.0,23.57142857142857,25.178571428571427,3.2142857142857144,48.21428571428572,1.6071428571428572,3.2142857142857144,1.0714285714285714,1.0714285714285714,0.0,0.0,2.142857142857143,2.142857142857143,6.428571428571429,3.2142857142857144,0.0,4.285714285714286,2.142857142857143,1.6071428571428572,1.0714285714285714,0.5357142857142857,1.0714285714285714,0.0,0.5357142857142857,0.5357142857142857,0.0,0.0,94.74,85.71,20.0,75.0,100.0,63.16,75.0,66.67,0.1480355531036607,0.3038447536811637,0.0,2.6785714285714284,0.076327457142857,0.5357142857142857,3.75,4.285714285714286,0.2311447553571429,28.392857142857142,LB/LCB,44,44,61,47,39,81,50,69,31,28,78,78,31,33,11,94,86,81,31,44,92,53,94,78,53,53,100,100,44,89,100,67,92,47,61,78,31,64,67,39,56,50,56,69,72,83,89,83,56,94,78,89,31,28,89,89,83,39,11,94,94,89,44,50,94,53,100,89,53,53,100,100,44,89,100,67,92,47,89,94,31,83,83,50,67,61,78,89,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,81sfrpdzz1nymxg1b5noo67ai,Y. Vertessen,Yorbe Vertessen,25,Attacker,Belgium,Striker,4.0,16.0,0.0,17.0,0.0,7.0,6.0,5.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,128.0,17.0,2.0,0.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,56.67,0.0,33.33,0.0,83.33,30.0,0.0,100.0,0.9293835779574602,0.8627681470340512,1.0,1.0,0.02855202,0.0,0.0,1.0,0.12812226,7.0,2.8125,11.25,0.0,11.953125,0.0,4.921875,4.21875,3.515625,0.703125,0.0,0.703125,1.40625,2.109375,0.0,0.703125,11.953125,1.40625,0.0,0.703125,2.109375,3.515625,0.0,0.703125,0.703125,0.0,0.0,56.67,0.0,33.33,0.0,83.33,30.0,0.0,100.0,0.6534728282513391,0.6066338533833172,0.703125,0.703125,0.0200756390625,0.0,0.0,0.703125,0.0900859640624999,4.921875,ST,21,48,28,28,12,100,55,67,48,24,14,26,17,19,78,97,67,17,62,100,93,52,55,91,52,52,24,28,90,17,97,21,12,81,86,100,43,33,33,26,10,17,66,29,31,72,28,52,12,100,93,93,62,24,17,52,17,19,83,100,90,17,83,100,100,52,66,93,52,52,24,28,90,17,97,21,12,81,97,100,59,38,34,26,10,31,66,55,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,8s1ggifut0xesv052i43m742y,K. Boma,Kévin Boma,23,Defender,Togo,Defender,57.0,85.0,2.0,141.0,10.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,15.0,4.0,3.0,180.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,92.76,100.0,50.0,100.0,0.0,68.18,58.82,100.0,0.3568106981240544,0.185823554748067,1.0,6.0,0.11976113,2.0,18.0,15.0,0.31859097,105.0,28.5,42.5,1.0,70.5,5.0,0.5,1.5,1.0,0.5,0.0,0.5,0.5,7.5,2.0,1.5,1.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,92.76,100.0,50.0,100.0,0.0,68.18,58.82,100.0,0.1784053490620272,0.0929117773740335,0.5,3.0,0.059880565,1.0,9.0,7.5,0.159295485,52.5,CB,29,90,7,62,86,67,90,81,88,40,71,67,69,10,52,74,74,81,38,98,38,45,48,95,52,52,71,100,95,88,38,86,67,95,90,90,88,90,90,93,95,90,81,76,33,100,10,86,98,79,90,86,86,40,71,67,95,12,57,83,86,86,48,100,38,45,48,95,52,52,71,100,95,88,38,86,67,95,90,90,86,100,100,100,95,95,95,90,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,9kd9xpv9glq7whrmztrixu9sk,T. Drexler,Tim Drexler,21,Defender,Germany,Defender,95.0,43.0,8.0,138.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,6.0,2.0,147.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.62,50.0,0.0,0.0,0.0,71.43,66.67,100.0,0.1716988837339274,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.1719949499999999,96.0,58.16326530612245,26.3265306122449,4.8979591836734695,84.48979591836735,1.2244897959183674,0.0,0.6122448979591837,0.6122448979591837,0.0,0.6122448979591837,0.0,0.0,3.061224489795918,3.673469387755102,1.2244897959183674,0.6122448979591837,0.0,0.0,1.836734693877551,0.0,0.0,0.6122448979591837,0.0,0.0,0.0,0.0,92.62,50.0,0.0,0.0,0.0,71.43,66.67,100.0,0.1051217655513841,0.0,0.0,0.0,0.0,0.0,3.673469387755102,4.285714285714286,0.1053030306122448,58.775510204081634,CB,64,62,57,57,24,26,43,55,38,90,31,29,10,19,26,31,21,36,67,48,38,93,48,48,52,52,67,40,48,36,38,100,81,95,62,31,38,29,29,31,57,62,57,67,100,81,90,100,33,26,57,71,38,95,31,29,14,24,38,38,21,36,86,48,38,95,48,48,52,52,67,40,48,36,38,100,81,95,76,31,38,29,29,31,71,71,71,95,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,a0axqb8w5rb0vdee8osag26ms,S. Diabaté,Soumaïla Diabaté,21,Midfielder,Mali,Midfielder,8.0,76.0,3.0,84.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,6.0,1.0,4.0,90.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,60.0,0.0,66.67,0.0,66.67,50.0,50.0,0.4994848667932977,0.1846735792938695,1.0,10.0,0.20115091,4.0,19.0,11.0,0.24969731,69.0,8.0,76.0,3.0,84.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,6.0,1.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,60.0,0.0,66.67,0.0,66.67,50.0,50.0,0.4994848667932977,0.1846735792938695,1.0,10.0,0.20115091,4.0,19.0,11.0,0.24969731,69.0,DM/CM,6,78,19,33,36,78,89,97,61,81,53,50,14,6,78,81,8,72,17,33,33,53,44,47,50,50,78,69,33,81,33,97,58,44,89,61,50,92,83,75,86,47,50,61,6,100,78,100,83,100,100,100,94,100,100,94,72,28,100,100,8,100,53,33,33,53,44,47,50,50,78,69,33,81,33,97,58,44,100,100,89,100,100,100,100,100,100,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,ajo4x6z5r2r4g8daotcqdjl04,B. Mazurek,Bartosz Mazurek,19,Midfielder,Poland,Midfielder,39.0,58.0,6.0,97.0,1.0,0.0,3.0,0.0,3.0,0.0,5.0,5.0,15.0,2.0,0.0,139.0,3.0,9.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.51,85.71,0.0,60.0,33.33,71.43,50.0,100.0,0.2229850113815437,0.0,2.0,2.0,0.04347372,1.0,13.0,8.0,0.30489715,59.0,25.25179856115108,37.55395683453237,3.884892086330935,62.80575539568345,0.6474820143884892,0.0,1.9424460431654675,0.0,1.9424460431654675,0.0,3.237410071942446,3.237410071942446,9.712230215827338,1.2949640287769784,0.0,1.9424460431654675,5.827338129496403,1.9424460431654675,1.2949640287769784,0.0,0.6474820143884892,0.0,0.0,0.0,0.0,0.0,91.51,85.71,0.0,60.0,33.33,71.43,50.0,100.0,0.1443787843477621,0.0,1.2949640287769784,1.2949640287769784,0.0281484517985611,0.6474820143884892,8.417266187050359,5.179856115107913,0.1974154208633093,38.20143884892086,CM/AM,78,63,72,76,48,6,43,22,69,24,74,65,83,61,17,48,100,72,54,19,56,52,48,41,52,52,96,85,19,78,72,100,72,94,41,6,67,17,15,28,76,46,48,85,89,93,89,93,63,6,63,22,89,24,78,74,100,81,17,52,100,81,78,19,70,52,48,41,52,52,96,85,19,78,72,100,72,94,56,6,78,22,19,44,93,74,81,93,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,cg2dpmeot9vtf40lnvg5scxsk,S. Kitano,Sota Kitano,22,Attacker,Japan,Striker,12.0,22.0,3.0,34.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,113.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,73.91,60.0,0.0,33.33,100.0,50.0,0.0,0.0,0.2755065012449942,0.4190749368447979,1.0,0.0,0.0,0.0,7.0,5.0,0.36988787,13.0,9.557522123893806,17.52212389380531,2.3893805309734515,27.079646017699115,0.0,3.185840707964602,1.592920353982301,0.7964601769911505,0.7964601769911505,0.0,2.3893805309734515,2.3893805309734515,3.185840707964602,0.0,0.0,4.778761061946903,0.7964601769911505,0.7964601769911505,0.0,0.0,1.592920353982301,0.0,0.7964601769911505,0.0,0.0,0.0,73.91,60.0,0.0,33.33,100.0,50.0,0.0,0.0,0.2194299567438007,0.3337764983719629,0.7964601769911505,0.0,0.0,0.0,5.575221238938053,3.982300884955752,0.2946009584070796,10.353982300884956,ST,84,76,88,79,12,88,12,9,48,24,55,52,24,19,33,29,40,50,19,36,43,52,55,43,52,52,69,76,36,47,100,88,12,19,17,93,43,12,12,26,93,83,90,76,100,86,97,97,12,93,14,14,71,24,72,72,41,19,33,55,53,72,19,36,76,52,72,43,52,52,69,76,36,47,100,88,12,19,28,93,66,12,12,26,100,90,100,90,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dphjm5otyeb004tqonfbbct90,D. Redzic,Damir Redzic,23,Attacker,Hungary,Striker,13.0,48.0,1.0,56.0,1.0,3.0,4.0,4.0,0.0,1.0,13.0,15.0,16.0,1.0,0.0,184.0,16.0,5.0,6.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,87.5,100.0,20.83,46.15,75.0,50.0,50.0,75.0,0.2751732748001262,0.3601810868482089,1.0,12.0,0.43395181,1.0,2.0,6.0,0.1934317199999999,15.0,6.358695652173914,23.47826086956522,0.4891304347826087,27.39130434782609,0.4891304347826087,1.4673913043478262,1.956521739130435,1.956521739130435,0.0,0.4891304347826087,6.358695652173914,7.336956521739131,7.82608695652174,0.4891304347826087,0.0,7.82608695652174,2.4456521739130435,2.9347826086956523,1.4673913043478262,2.4456521739130435,1.4673913043478262,0.0,0.0,0.0,0.0,0.0,87.5,100.0,20.83,46.15,75.0,50.0,50.0,75.0,0.13459562354354,0.1761755316105369,0.4891304347826087,5.869565217391305,0.2122590375,0.4891304347826087,0.9782608695652176,2.9347826086956523,0.0946133413043477,7.336956521739131,RW,70,60,40,60,60,40,40,60,20,40,80,80,60,30,40,100,80,90,60,90,60,50,30,40,60,60,100,90,40,100,100,60,80,60,20,60,40,80,100,40,40,50,40,40,80,80,60,80,60,60,60,80,20,40,100,100,80,40,40,100,80,100,80,100,80,50,30,40,60,60,100,90,40,100,100,60,80,60,60,80,60,100,100,40,60,60,40,60,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dtt29qocpooiymw666vz2iwdm,A. Barry,Abubakr Barry,26,Midfielder,Gambia,Midfielder,79.0,105.0,8.0,184.0,2.0,3.0,3.0,1.0,2.0,0.0,2.0,3.0,6.0,3.0,2.0,204.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.76,53.33,0.0,0.0,0.0,37.5,66.67,0.0,0.2843297442898014,0.1851538422289076,1.0,10.0,0.22346701,8.0,23.0,19.0,0.3735113899999998,113.0,34.85294117647059,46.32352941176471,3.5294117647058822,81.17647058823529,0.8823529411764706,1.3235294117647058,1.3235294117647058,0.4411764705882353,0.8823529411764706,0.0,0.8823529411764706,1.3235294117647058,2.647058823529412,1.3235294117647058,0.8823529411764706,1.3235294117647058,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.4411764705882353,0.0,0.0,89.76,53.33,0.0,0.0,0.0,37.5,66.67,0.0,0.12543959306903,0.0816855186304004,0.4411764705882353,4.411764705882353,0.0985883867647058,3.5294117647058822,10.147058823529411,8.382352941176471,0.1647844367647057,49.85294117647059,CM/AM,93,96,87,93,70,48,43,52,50,24,35,44,33,78,69,48,44,17,13,19,19,52,48,85,52,52,74,44,19,17,19,30,89,13,48,33,35,89,81,96,96,91,56,96,96,100,85,96,74,41,44,48,56,24,35,41,30,85,70,37,52,17,13,19,19,52,48,85,52,52,74,44,19,17,19,30,89,13,44,33,33,93,81,96,96,100,59,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dvqog8r05iw9zqr68l4fcnre2,N. Veratschnig,Nikolas Veratschnig,23,Defender,Austria,Defender,42.0,91.0,9.0,131.0,4.0,3.0,7.0,4.0,3.0,2.0,3.0,3.0,11.0,7.0,5.0,248.0,8.0,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,89.73,69.23,15.38,100.0,42.86,68.75,66.67,100.0,0.6954396232274725,0.4214461753400014,2.0,7.0,0.1899427799999999,5.0,18.0,24.0,1.1801308500000005,67.0,15.241935483870968,33.024193548387096,3.2661290322580645,47.54032258064516,1.4516129032258065,1.0887096774193548,2.540322580645161,1.4516129032258065,1.0887096774193548,0.7258064516129032,1.0887096774193548,1.0887096774193548,3.991935483870968,2.540322580645161,1.814516129032258,2.903225806451613,1.0887096774193548,1.0887096774193548,0.3629032258064516,0.7258064516129032,1.0887096774193548,0.0,0.0,0.0,0.0,0.0,89.73,69.23,15.38,100.0,42.86,68.75,66.67,100.0,0.2523772826228731,0.1529441765346779,0.7258064516129032,2.540322580645161,0.0689308475806451,1.814516129032258,6.532258064516129,8.709677419354838,0.4282732923387098,24.31451612903226,RB/RCB,40,93,63,60,53,70,93,93,90,93,60,60,53,47,93,90,73,77,20,87,100,53,50,43,53,53,73,93,60,93,87,80,57,93,100,87,93,80,73,93,87,93,100,67,40,93,67,60,47,80,93,93,93,100,73,67,53,40,87,93,80,87,20,80,100,53,50,43,53,53,73,93,60,93,87,80,57,93,100,93,93,80,73,93,93,100,100,73,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,og090mw7ae5fkg397p9g0ru1,D. Schmid,Dominik Schmid,28,Defender,Switzerland,Defender,26.0,66.0,3.0,88.0,3.0,7.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,112.0,6.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,94.62,75.0,50.0,0.0,0.0,66.67,60.0,100.0,0.2419256934798723,0.6554592998517178,0.0,4.0,0.33425044,4.0,10.0,13.0,0.8362315400000001,53.0,20.892857142857142,53.035714285714285,2.4107142857142856,70.71428571428571,2.4107142857142856,5.625,1.6071428571428572,1.6071428571428572,0.0,1.6071428571428572,0.0,0.0,4.821428571428571,0.0,0.8035714285714286,4.821428571428571,0.8035714285714286,0.0,1.6071428571428572,3.2142857142857144,0.0,0.0,0.0,0.8035714285714286,0.0,0.0,94.62,75.0,50.0,0.0,0.0,66.67,60.0,100.0,0.1944045751177545,0.5267083659522732,0.0,3.2142857142857144,0.2685941035714285,3.2142857142857144,8.035714285714285,10.446428571428571,0.6719717732142858,42.58928571428572,LB/LCB,11,86,33,31,39,89,50,69,31,97,14,14,11,6,25,72,22,25,31,83,31,53,44,78,53,53,94,94,92,25,31,81,64,94,50,89,31,53,94,78,67,56,94,69,61,100,61,100,83,100,89,100,31,100,14,14,44,6,56,100,56,25,67,94,31,53,44,100,53,53,94,94,92,25,31,81,64,94,94,100,31,94,100,94,100,100,100,100,Austrian Bundesliga
Austria Wien,84gk4ytf9vr8oml51cqyit78w,36dx87q1ec6aiav6jbgivccq2,Lee Kang-Hee,Kang-Hee Lee,25,Midfielder,Korea Republic,Midfielder,79.0,42.0,6.0,121.0,6.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,14.0,15.0,2.0,270.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.62,60.0,0.0,0.0,0.0,46.67,60.0,60.0,0.1654340010502379,0.132831052445973,0.0,3.0,0.0614221499999999,4.0,10.0,10.0,0.1964659299999999,66.0,26.33333333333333,14.0,2.0,40.333333333333336,2.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,4.666666666666667,5.0,0.6666666666666666,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.62,60.0,0.0,0.0,0.0,46.67,60.0,60.0,0.0551446670167459,0.044277017481991,0.0,1.0,0.0204740499999999,1.3333333333333333,3.333333333333333,3.333333333333333,0.0654886433333333,22.0,DM/CM,78,33,39,50,83,53,19,22,36,53,72,67,50,89,44,92,44,22,53,33,33,53,44,47,50,50,67,69,33,22,33,39,86,78,22,44,19,39,33,75,44,36,28,53,100,44,31,78,83,50,17,22,39,64,69,61,56,89,44,89,42,22,53,33,33,53,44,47,50,50,67,69,33,22,33,39,86,78,28,56,19,44,44,78,44,44,33,75,Austrian Bundesliga
