Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total interception_Total,total big chances saved_Total,total assists_Total,total goals_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total interception_p90,total big chances saved_p90,total assists_p90,total goals_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total assists_TotalPR,total goals_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total interception_p90PR,total big chances saved_p90PR,total assists_p90PR,total goals_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,5anxcfh8hvwdbdc162ekgr52i,L. Blum,Lewin Blum,25,Defender,Switzerland,Defender,37.0,1.0,49.0,8.0,85.0,1.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,15.0,8.0,291.0,2.0,7.0,5.0,3.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,77.27,36.36,10.0,75.0,40.0,62.5,50.0,83.33,0.5665561679306105,0.4653853893339745,1.0,5.0,0.1401607,0.0,15.0,19.0,0.75991056,45.0,11.443298969072163,0.3092783505154639,15.154639175257731,2.4742268041237114,26.288659793814432,0.3092783505154639,1.5463917525773196,1.5463917525773196,1.2371134020618555,0.3092783505154639,0.3092783505154639,1.2371134020618555,1.2371134020618555,4.639175257731958,2.4742268041237114,0.6185567010309279,2.164948453608248,1.5463917525773196,0.9278350515463918,1.5463917525773196,1.5463917525773196,0.3092783505154639,0.6185567010309279,0.6185567010309279,0.0,0.0,77.27,36.36,10.0,75.0,40.0,62.5,50.0,83.33,0.1752235570919413,0.1439336255672086,0.3092783505154639,1.5463917525773196,0.0433486701030927,0.0,4.639175257731958,5.876288659793814,0.2350238845360824,13.917525773195877,RB/RCB,50,47,75,75,56,25,94,97,94,81,91,69,66,69,62,91,75,91,78,72,53,94,100,100,53,53,44,41,44,81,66,72,50,69,94,94,81,72,75,22,94,94,88,53,25,44,56,75,38,25,94,81,81,75,81,62,62,50,44,94,75,88,81,50,50,100,94,100,53,53,44,41,44,81,66,72,50,69,88,94,75,62,62,22,100,100,75,50,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,61r6igcudl4mbfr19doqr4n3d,S. Lauper,Sandro Lauper,29,Midfielder,Switzerland,Midfielder,36.0,0.0,24.0,6.0,60.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,133.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,88.24,46.15,0.0,0.0,0.0,33.33,0.0,0.0,0.0641494276355145,0.0,1.0,1.0,0.01685596,0.0,9.0,10.0,0.13979065,43.0,24.360902255639097,0.0,16.240601503759397,4.060150375939849,40.6015037593985,0.0,0.6766917293233082,0.6766917293233082,0.0,0.6766917293233082,0.0,0.0,0.0,1.3533834586466165,5.413533834586466,0.0,0.0,0.6766917293233082,0.0,0.0,1.3533834586466165,0.0,0.0,0.0,0.0,0.0,88.24,46.15,0.0,0.0,0.0,33.33,0.0,0.0,0.0434093871217767,0.0,0.6766917293233082,0.6766917293233082,0.0114062887218045,0.0,6.090225563909774,6.7669172932330826,0.0945951766917293,29.09774436090225,DM/CM,43,35,22,61,39,9,33,24,28,50,26,11,11,4,96,39,17,20,22,13,39,52,41,46,50,52,78,50,35,22,39,13,13,13,17,13,67,15,13,13,50,61,43,57,65,35,39,83,57,9,39,43,28,61,26,11,11,4,100,39,17,26,22,13,57,52,41,46,50,52,78,50,35,22,39,13,13,13,39,13,83,22,17,13,74,87,57,70,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,6qb4ce3qzlcvjdaluqom2vhuc,S. Bukinac,Stefan Bukinac,21,Defender,Serbia,Defender,13.0,8.0,38.0,4.0,43.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,4.0,171.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,72.88,33.33,61.54,33.33,100.0,71.43,0.0,100.0,0.0780345169981902,0.6202981772770388,0.0,2.0,0.04691444,2.0,5.0,7.0,0.90956099,26.0,6.842105263157895,4.2105263157894735,20.0,2.1052631578947367,22.63157894736842,0.5263157894736842,2.631578947368421,0.5263157894736842,0.5263157894736842,0.0,0.0,1.5789473684210529,1.5789473684210529,2.631578947368421,2.1052631578947367,0.5263157894736842,1.0526315789473684,1.0526315789473684,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.0,1.0526315789473684,0.0,0.0,0.0,72.88,33.33,61.54,33.33,100.0,71.43,0.0,100.0,0.0410707984201001,0.326472724882652,0.0,1.0526315789473684,0.0246918105263157,1.0526315789473684,2.631578947368421,3.68421052631579,0.4787163105263158,13.68421052631579,LB/LCB,14,95,57,57,19,26,93,43,74,26,36,71,69,24,29,83,57,60,60,21,36,50,100,50,50,50,24,50,100,55,95,88,12,95,48,95,31,45,43,71,55,52,100,36,10,100,86,67,14,24,95,43,71,26,36,71,71,10,24,86,57,71,67,24,48,50,100,50,50,50,24,50,100,55,95,88,12,95,48,95,31,52,52,86,52,62,95,38,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,6uurhe88nry4hyelll8ifzd91,E. Fernandes,Edimilson Fernandes,30,Midfielder,Switzerland,Midfielder,64.0,0.0,74.0,5.0,138.0,3.0,2.0,5.0,2.0,3.0,1.0,5.0,5.0,8.0,1.0,238.0,2.0,5.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,87.9,41.67,0.0,60.0,40.0,57.14,0.0,50.0,0.4663167541133063,0.1023478481182507,2.0,7.0,0.13799896,2.0,10.0,7.0,0.3368933099999999,75.0,24.201680672268907,0.0,27.983193277310924,1.8907563025210083,52.18487394957983,1.134453781512605,0.7563025210084033,1.8907563025210083,0.7563025210084033,1.134453781512605,0.3781512605042016,1.8907563025210083,1.8907563025210083,3.0252100840336134,0.3781512605042016,0.7563025210084033,1.8907563025210083,0.0,1.134453781512605,0.3781512605042016,0.7563025210084033,0.0,0.0,0.3781512605042016,0.0,0.0,87.9,41.67,0.0,60.0,40.0,57.14,0.0,50.0,0.1763382683621746,0.038702967775809,0.7563025210084033,2.647058823529412,0.0521844806722689,0.7563025210084033,3.7815126050420167,2.647058823529412,0.1273966298319327,28.36134453781513,CM/AM,96,17,90,65,100,77,21,63,50,75,46,65,58,29,44,54,42,8,71,15,67,52,35,60,52,52,88,31,17,69,46,69,23,23,65,19,63,83,54,52,81,44,58,100,100,17,96,65,100,81,15,54,42,77,46,50,50,15,35,46,35,8,62,15,69,52,35,50,52,52,88,31,17,69,46,69,23,23,54,19,69,77,54,50,77,38,54,100,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,7z00z2y66vadv1ge09y6ypixg,A. Sanches,Alvyn Sanches,23,Midfielder,Switzerland,Midfielder,28.0,6.0,88.0,3.0,110.0,1.0,17.0,10.0,8.0,2.0,1.0,14.0,15.0,20.0,1.0,336.0,6.0,12.0,2.0,7.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,83.97,50.0,46.15,50.0,60.0,42.55,25.0,80.0,0.8808355517133176,1.5149598948932912,4.0,10.0,0.30150371,3.0,18.0,25.0,1.02541303,65.0,7.5,1.6071428571428572,23.57142857142857,0.8035714285714286,29.464285714285715,0.2678571428571428,4.553571428571429,2.6785714285714284,2.142857142857143,0.5357142857142857,0.2678571428571428,3.75,4.017857142857142,5.357142857142857,0.2678571428571428,1.6071428571428572,3.2142857142857144,0.5357142857142857,1.875,2.142857142857143,0.0,0.0,0.5357142857142857,0.5357142857142857,0.0,0.0,83.97,50.0,46.15,50.0,60.0,42.55,25.0,80.0,0.2359380942089243,0.4057928289892744,1.0714285714285714,2.6785714285714284,0.0807599223214285,0.8035714285714286,4.821428571428571,6.696428571428571,0.2746642044642857,17.410714285714285,CM/AM,60,87,100,46,85,40,100,92,94,52,46,92,92,98,44,98,87,37,90,100,15,52,96,90,52,52,65,46,77,63,77,27,54,67,85,100,92,92,96,73,100,100,96,92,35,69,88,31,58,35,96,81,88,42,35,85,85,62,27,92,65,23,85,92,15,52,96,77,52,52,65,46,77,63,77,27,54,67,77,92,81,81,73,54,85,96,96,85,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,8oor1m6o9js5bby3qh5imf8d0,J. Monteiro,Joël Monteiro,27,Attacker,Switzerland,Striker,7.0,1.0,30.0,5.0,36.0,3.0,4.0,11.0,8.0,3.0,1.0,25.0,25.0,18.0,4.0,304.0,8.0,26.0,3.0,6.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,67.92,83.33,100.0,24.0,72.73,34.62,37.5,83.33,1.5536133869227051,0.3172387446056519,4.0,5.0,0.17330714,1.0,7.0,9.0,0.2515868899999999,20.0,2.0723684210526314,0.2960526315789473,8.881578947368421,1.480263157894737,10.657894736842104,0.8881578947368421,1.1842105263157894,3.256578947368421,2.3684210526315788,0.8881578947368421,0.2960526315789473,7.401315789473684,7.401315789473684,5.328947368421052,1.1842105263157894,2.3684210526315788,7.697368421052632,0.8881578947368421,1.7763157894736843,1.480263157894737,1.1842105263157894,0.0,0.0,0.5921052631578947,0.0,0.0,67.92,83.33,100.0,24.0,72.73,34.62,37.5,83.33,0.4599513316547482,0.0939193651793048,1.1842105263157894,1.480263157894737,0.051308034868421,0.2960526315789473,2.0723684210526314,2.664473684210526,0.0744829608552631,5.921052631578948,LW,50,75,75,100,50,88,100,100,100,75,25,100,100,100,100,100,100,100,100,100,100,62,50,100,62,62,25,100,100,25,100,50,50,75,100,100,75,50,50,38,100,100,75,100,25,75,25,100,25,75,75,50,75,50,25,100,100,75,100,100,75,50,75,100,100,62,50,75,62,62,25,100,100,25,100,50,50,75,75,50,25,25,25,25,100,75,50,25,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,9km5yidmp0mbjrqqxlapdztre,A. Gigović,Armin Gigovic,24,Midfielder,Bosnia and Herzegovina,Midfielder,60.0,0.0,65.0,9.0,125.0,4.0,4.0,5.0,1.0,4.0,3.0,2.0,2.0,15.0,3.0,323.0,2.0,5.0,6.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,87.41,69.23,0.0,100.0,40.0,60.0,0.0,100.0,0.2773227794402017,0.4221627257284048,3.0,4.0,0.09587723,3.0,9.0,12.0,0.48062957,64.0,16.718266253869967,0.0,18.11145510835913,2.5077399380804954,34.8297213622291,1.1145510835913313,1.1145510835913313,1.393188854489164,0.2786377708978328,1.1145510835913313,0.8359133126934984,0.5572755417956656,0.5572755417956656,4.179566563467492,0.8359133126934984,0.5572755417956656,1.393188854489164,1.671826625386997,0.5572755417956656,0.8359133126934984,1.1145510835913313,0.0,0.0,0.2786377708978328,0.0,0.0,87.41,69.23,0.0,100.0,40.0,60.0,0.0,100.0,0.0772726010824091,0.1176304808531158,0.8359133126934984,1.1145510835913313,0.0267150176470588,0.8359133126934984,2.5077399380804954,3.343653250773994,0.1339215520123839,17.8328173374613,CM/AM,92,17,77,98,92,85,42,63,29,92,88,29,29,65,81,54,42,77,48,69,94,52,35,60,52,52,85,81,17,94,46,81,23,88,38,54,79,42,46,73,73,77,69,88,92,17,38,85,77,77,27,42,27,73,73,27,27,46,77,31,23,65,38,38,85,52,35,46,52,52,85,81,17,94,46,81,23,88,27,38,73,35,35,58,58,69,58,88,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,afk5qdami9yzapywig6ds4quh,C. Zesiger,Cédric Zesiger,28,Defender,Switzerland,Defender,79.0,0.0,40.0,16.0,119.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,19.0,256.0,2.0,5.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,80.95,53.33,0.0,0.0,100.0,66.67,90.91,75.0,0.2492647583748562,0.1641459454927511,0.0,2.0,0.03867417,1.0,8.0,10.0,0.1812928,66.0,27.7734375,0.0,14.0625,5.625,41.8359375,3.515625,0.3515625,0.703125,0.703125,0.0,0.0,0.0,0.0,5.625,6.6796875,0.703125,1.7578125,1.0546875,0.0,1.0546875,1.40625,0.0,0.0,0.3515625,0.0,0.0,80.95,53.33,0.0,0.0,100.0,66.67,90.91,75.0,0.0876321416161603,0.0577075589622953,0.0,0.703125,0.013596387890625,0.3515625,2.8125,3.515625,0.06373575,23.203125,CB,54,43,61,98,57,80,75,73,80,43,43,23,23,59,73,93,82,62,34,52,64,46,48,93,52,52,29,82,43,34,96,70,100,70,82,89,45,73,68,73,70,73,64,71,50,43,54,100,50,75,79,68,77,43,43,23,23,54,61,96,86,55,34,50,54,46,48,96,52,52,29,82,43,34,96,70,100,70,75,89,45,75,68,73,57,64,57,64,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,bf6s84lavpij33riqec7y8445,S. Essende,Samuel Essende,28,Attacker,Congo DR,Striker,12.0,2.0,47.0,2.0,57.0,21.0,11.0,22.0,19.0,3.0,7.0,14.0,14.0,48.0,5.0,360.0,9.0,35.0,12.0,9.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,79.17,100.0,50.0,64.29,40.91,53.33,53.85,50.0,2.19247476635506,0.6172456722301201,3.0,5.0,0.21158306,3.0,12.0,9.0,0.24765366,27.0,3.0,0.5,11.75,0.5,14.25,5.25,2.75,5.5,4.75,0.75,1.75,3.5,3.5,12.0,1.25,2.25,8.75,3.0,2.25,0.75,0.0,0.0,0.5,1.0,0.0,0.0,79.17,100.0,50.0,64.29,40.91,53.33,53.85,50.0,0.548118691588765,0.15431141805753,0.75,1.25,0.052895765,0.75,3.0,2.25,0.061913415,6.75,ST,74,89,97,82,97,100,100,100,100,94,100,94,94,100,97,100,100,100,97,85,34,52,98,100,52,52,77,85,94,84,71,84,90,52,100,97,89,82,94,84,100,98,81,94,48,84,81,66,65,97,87,94,94,73,94,81,76,97,81,90,87,97,90,71,34,52,82,89,52,52,77,85,94,84,71,84,90,52,94,74,60,48,71,63,100,84,71,74,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,cag46lcr9rbj6593ftfegc0lw,D. Pech,Dominik Pech,19,Midfielder,Czechia,Midfielder,15.0,0.0,38.0,2.0,53.0,2.0,1.0,4.0,2.0,2.0,0.0,6.0,6.0,11.0,4.0,173.0,3.0,4.0,1.0,5.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,84.13,33.33,0.0,83.33,75.0,57.89,66.67,33.33,0.2694847883520589,0.0972317235314579,2.0,6.0,0.15352612,2.0,10.0,9.0,0.0925159999999999,23.0,7.803468208092485,0.0,19.76878612716763,1.0404624277456649,27.57225433526012,1.0404624277456649,0.5202312138728323,2.0809248554913293,1.0404624277456649,1.0404624277456649,0.0,3.121387283236994,3.121387283236994,5.722543352601156,2.0809248554913293,1.560693641618497,2.0809248554913293,0.5202312138728323,2.601156069364162,0.5202312138728323,2.601156069364162,0.0,0.5202312138728323,0.5202312138728323,0.0,0.0,84.13,33.33,0.0,83.33,75.0,57.89,66.67,33.33,0.1401943985646549,0.0505829775597179,1.0404624277456649,3.121387283236994,0.0798690797687861,1.0404624277456649,5.202312138728324,4.682080924855491,0.0481297109826589,11.965317919075144,DM/CM,13,35,52,20,26,59,33,91,83,74,26,93,93,63,76,100,78,20,96,37,80,52,89,93,50,52,48,22,35,74,100,70,83,28,87,48,93,80,83,61,57,57,22,26,9,35,61,17,30,78,35,96,91,87,26,96,96,83,74,100,91,22,100,35,91,52,96,96,50,52,48,22,35,74,100,70,83,28,91,39,96,83,87,57,65,70,22,26,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,d6en8pyovfsfqfc4u67rkkwdl,K. Imeri,Kastriot Imeri,26,Midfielder,Switzerland,Midfielder,10.0,4.0,41.0,3.0,47.0,4.0,4.0,5.0,1.0,4.0,2.0,1.0,1.0,13.0,1.0,192.0,2.0,5.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,77.05,75.0,28.57,0.0,40.0,65.0,66.67,66.67,0.2251799687135999,0.3984651046034988,3.0,2.0,0.04130209,1.0,3.0,2.0,0.070987,11.0,4.6875,1.875,19.21875,1.40625,22.03125,1.875,1.875,2.34375,0.46875,1.875,0.9375,0.46875,0.46875,6.09375,0.46875,0.9375,2.34375,2.8125,0.0,0.9375,0.46875,0.0,0.9375,0.46875,0.0,0.0,77.05,75.0,28.57,0.0,40.0,65.0,66.67,66.67,0.1055531103344999,0.18678051778289,1.40625,0.9375,0.0193603546875,0.46875,1.40625,0.9375,0.03327515625,5.15625,CM/AM,13,63,35,46,23,85,42,63,29,92,73,19,19,56,44,54,42,77,15,42,42,52,96,60,52,52,35,92,44,15,46,88,92,38,23,46,79,27,27,23,27,12,15,15,15,73,50,46,31,85,46,62,31,96,77,23,23,73,50,69,46,81,15,50,46,52,100,65,52,52,35,92,44,15,46,88,92,38,35,54,92,31,27,31,31,12,15,12,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,dlwwdyc50t43mk1a4un566zth,G. Wüthrich,Gregory Wüthrich,31,Defender,Switzerland,Defender,53.0,0.0,33.0,8.0,86.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,21.0,240.0,0.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,89.58,61.54,0.0,0.0,0.0,50.0,63.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.875,0.0,12.375,3.0,32.25,2.625,0.0,0.0,0.0,0.0,0.0,0.375,0.375,3.75,7.875,0.0,0.375,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,89.58,61.54,0.0,0.0,0.0,50.0,63.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,45,43,43,62,46,59,32,16,16,43,43,59,59,23,82,39,27,79,34,7,93,46,48,45,52,52,86,86,43,34,39,14,50,7,20,34,45,25,25,32,14,14,14,14,25,43,25,57,29,50,32,16,16,43,43,64,64,14,71,39,29,73,34,7,95,46,48,45,52,52,86,86,43,34,39,14,50,7,20,34,45,25,25,32,14,14,14,14,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,dy4qddlt7cjmx6mdf7rj16jf9,L. Benito,Loris Benito,34,Defender,Switzerland,Defender,28.0,0.0,24.0,3.0,52.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,121.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.54,30.0,0.0,0.0,0.0,44.44,33.33,66.67,0.0682811236498869,0.0,0.0,1.0,0.01935132,1.0,5.0,5.0,0.08649795,27.0,20.82644628099173,0.0,17.851239669421485,2.2314049586776856,38.67768595041322,0.743801652892562,0.0,0.743801652892562,0.743801652892562,0.0,0.0,0.0,0.0,2.975206611570248,2.975206611570248,0.0,0.743801652892562,0.0,0.0,1.487603305785124,0.0,0.0,0.0,0.0,0.0,0.0,82.54,30.0,0.0,0.0,0.0,44.44,33.33,66.67,0.0507876126321472,0.0,0.0,0.743801652892562,0.0143935438016528,0.743801652892562,3.7190082644628095,3.7190082644628095,0.0643373181818181,20.08264462809917,LB/LCB,40,21,17,38,24,26,24,43,74,26,36,12,12,12,29,36,26,12,26,52,10,50,48,50,50,50,67,43,21,26,36,26,36,67,43,24,31,29,29,45,55,29,19,45,81,21,52,76,81,36,24,62,86,26,36,12,12,17,38,36,48,12,26,71,10,50,48,50,50,50,67,43,21,26,36,26,36,67,62,24,31,43,29,64,95,67,29,81,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,dzh403ofb9zatvornq0svb0gk,J. Hadjam,Jaouen Hadjam,23,Defender,Algeria,Defender,29.0,2.0,36.0,3.0,63.0,1.0,0.0,4.0,0.0,4.0,1.0,15.0,15.0,14.0,8.0,189.0,1.0,4.0,3.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,79.75,42.86,50.0,46.67,25.0,43.75,50.0,66.67,0.1763658611535777,0.0,2.0,7.0,0.18965041,4.0,5.0,6.0,0.16063266,28.0,13.809523809523808,0.9523809523809524,17.142857142857142,1.4285714285714286,30.0,0.4761904761904761,0.0,1.9047619047619049,0.0,1.9047619047619049,0.4761904761904761,7.142857142857142,7.142857142857142,6.666666666666666,3.809523809523809,0.4761904761904761,1.9047619047619049,1.4285714285714286,3.333333333333333,0.9523809523809524,2.857142857142857,0.0,0.0,0.0,0.0,0.0,79.75,42.86,50.0,46.67,25.0,43.75,50.0,66.67,0.0839837434064655,0.0,0.9523809523809524,3.333333333333333,0.090309719047619,1.9047619047619049,2.380952380952381,2.857142857142857,0.0764917428571428,13.333333333333332,LB/LCB,50,60,48,38,48,26,24,100,29,100,83,100,100,69,64,83,83,81,100,52,100,50,48,50,50,50,52,67,95,67,71,19,55,67,81,24,93,93,95,95,55,38,43,52,48,62,48,38,38,19,24,100,29,100,86,100,100,86,62,81,90,86,100,57,100,50,48,50,50,50,52,67,95,67,71,19,55,67,76,24,100,95,95,100,43,38,48,33,Swiss Super League
Basel,5u18kvqiqhup2vd345dci1069,367uiqi4o7c5yshuyvlp91gd0,A. Sow,Asane Sow,20,Attacker,Italy,Striker,20.0,1.0,39.0,1.0,58.0,3.0,5.0,15.0,11.0,4.0,3.0,21.0,22.0,28.0,2.0,306.0,5.0,26.0,9.0,7.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,69.05,20.0,16.67,33.33,33.33,47.46,75.0,88.89,1.4672715035194628,0.4511996623842776,7.0,7.0,0.1744914199999999,4.0,3.0,3.0,0.3451485399999999,18.0,5.882352941176471,0.2941176470588235,11.470588235294118,0.2941176470588235,17.058823529411764,0.8823529411764706,1.4705882352941178,4.411764705882353,3.235294117647059,1.1764705882352942,0.8823529411764706,6.176470588235294,6.470588235294118,8.23529411764706,0.5882352941176471,1.4705882352941178,7.647058823529412,2.647058823529412,2.058823529411765,2.3529411764705883,0.0,0.0,0.5882352941176471,0.5882352941176471,0.0,0.0,69.05,20.0,16.67,33.33,33.33,47.46,75.0,88.89,0.4315504422116067,0.1327057830541993,2.058823529411765,2.058823529411765,0.0513210058823529,1.1764705882352942,0.8823529411764706,0.8823529411764706,0.1015142764705882,5.294117647058823,RW,67,83,100,67,100,67,67,100,100,83,100,100,100,100,83,83,100,100,67,100,33,67,100,100,67,67,33,67,100,33,50,67,67,100,100,67,100,83,67,100,67,67,67,67,67,67,67,67,67,67,33,67,100,67,67,67,67,33,67,67,100,100,67,100,33,67,100,100,67,67,33,67,100,33,50,67,67,100,67,33,67,33,33,67,67,67,67,67,Swiss Super League
