Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total duels won_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total aerial won_Total,total effective clearance_Total,total interception_Total,total big chances saved_Total,total contest_Total,total dribbles attempted_Total,total goals_Total,total ontarget attempt_Total,total won contest_Total,total assists_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total duels won_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total aerial won_p90,total effective clearance_p90,total interception_p90,total big chances saved_p90,total contest_p90,total dribbles attempted_p90,total goals_p90,total ontarget attempt_p90,total won contest_p90,total assists_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total duels won_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total aerial won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total won contest_TotalPR,total assists_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total duels won_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total aerial won_p90PR,total effective clearance_p90PR,total interception_p90PR,total big chances saved_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total won contest_p90PR,total assists_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Horsens,a9vw7ikerpr4cuweeeka5aneg,14wqefw9b78oou3ocb1wrojys,J. Tauriainen,Jimi Tauriainen,22,Midfielder,Finland,Midfielder,9.0,1.0,13.0,4.0,21.0,3.0,2.0,0.0,2.0,0.0,9.0,112.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,72.41,66.67,100.0,25.0,50.0,40.91,14.29,33.33,0.0985868501629966,0.2690496006351333,1.0,3.0,0.09149093,0.0,4.0,6.0,0.1127351,11.0,7.232142857142857,0.8035714285714286,10.446428571428571,3.2142857142857144,16.875,2.4107142857142856,1.6071428571428572,0.0,1.6071428571428572,0.0,7.232142857142857,1.6071428571428572,3.2142857142857144,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.0,3.2142857142857144,3.2142857142857144,0.0,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.0,0.0,72.41,66.67,100.0,25.0,50.0,40.91,14.29,33.33,0.0792215760238365,0.2162005719389463,0.8035714285714286,2.4107142857142856,0.0735194973214285,0.0,3.2142857142857144,4.821428571428571,0.0905907053571428,8.839285714285714,DM/CM,3,78,5,45,3,70,52,27,70,27,27,45,57,12,35,7,12,48,72,68,43,60,58,88,52,52,10,92,97,50,80,20,30,17,30,80,60,47,53,13,20,33,17,3,3,93,13,93,3,100,77,27,97,27,83,80,93,23,60,17,23,48,93,93,43,87,80,100,52,52,10,92,97,50,80,20,30,17,67,100,87,83,87,13,57,78,77,10,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,2gsd0ocro9aqgqn4ql3rg8e8k,M. Kupijbida,Mikkel Kupijbida,18,Defender,Denmark,Defender,161.0,0.0,43.0,5.0,204.0,0.0,0.0,0.0,0.0,0.0,16.0,444.0,0.0,2.0,4.0,8.0,33.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,86.08,18.52,0.0,100.0,0.0,64.0,66.67,80.0,0.0005981850620907,0.0,0.0,2.0,0.0348216,0.0,9.0,6.0,0.27666732,147.0,32.63513513513514,0.0,8.716216216216216,1.0135135135135134,41.35135135135135,0.0,0.0,0.0,0.0,0.0,3.243243243243243,0.0,0.4054054054054054,0.8108108108108107,1.6216216216216215,6.689189189189189,0.4054054054054054,0.2027027027027027,0.2027027027027027,0.2027027027027027,0.0,0.0,0.2027027027027027,0.0,0.0,0.0,86.08,18.52,0.0,100.0,0.0,64.0,66.67,80.0,0.0001212537288021,0.0,0.0,0.4054054054054054,0.0070584324324324,0.0,1.8243243243243243,1.2162162162162162,0.0560812135135135,29.79729729729729,CB,71,38,24,31,53,16,13,13,35,37,63,7,41,62,62,84,28,96,56,56,41,31,72,46,51,51,32,9,38,91,31,76,84,75,24,18,41,32,29,22,47,37,41,62,56,38,12,24,29,16,13,13,35,37,25,7,25,35,53,74,18,94,47,47,41,31,71,46,51,51,32,9,38,91,31,76,84,75,24,18,41,26,24,22,29,26,26,47,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,Kristian Kirkegaard,28,Midfielder,Denmark,Midfielder,24.0,1.0,39.0,3.0,62.0,2.0,3.0,1.0,2.0,0.0,14.0,338.0,12.0,7.0,3.0,1.0,2.0,3.0,0.0,5.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,69.66,25.0,33.33,0.0,66.67,29.79,20.0,50.0,0.2332935299775034,0.1743609339132001,1.0,2.0,0.07600993,3.0,8.0,9.0,0.24048064,27.0,6.390532544378698,0.2662721893491124,10.384615384615383,0.7988165680473372,16.50887573964497,0.5325443786982249,0.7988165680473372,0.2662721893491124,0.5325443786982249,0.0,3.727810650887574,3.195266272189349,1.863905325443787,0.7988165680473372,0.2662721893491124,0.5325443786982249,0.7988165680473372,0.0,1.331360946745562,1.5976331360946745,0.2662721893491124,0.5325443786982249,0.0,0.2662721893491124,0.0,0.0,69.66,25.0,33.33,0.0,66.67,29.79,20.0,50.0,0.0621195789880926,0.0464274676100236,0.2662721893491124,0.5325443786982249,0.0202393304733727,0.7988165680473372,2.1301775147929,2.396449704142012,0.0640333065088757,7.189349112426036,CM/AM,22,46,13,39,13,15,17,11,46,9,39,63,76,48,17,35,57,52,48,57,70,57,7,80,50,52,9,24,76,7,100,9,17,30,13,17,28,11,22,39,33,28,22,17,26,39,13,35,13,13,9,9,30,9,26,57,74,39,13,17,43,52,39,43,70,43,7,78,50,52,9,24,76,7,100,9,17,30,9,13,30,4,13,35,17,17,9,9,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,4braldrfw3y7g030lctguuuol,V. Pálsson,Victor Pálsson,35,Defender,Iceland,Defender,68.0,0.0,67.0,15.0,135.0,1.0,3.0,3.0,0.0,1.0,23.0,449.0,10.0,1.0,6.0,11.0,27.0,8.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,75.84,44.12,0.0,66.67,0.0,54.76,47.83,66.67,0.3023675069967794,0.0,0.0,2.0,0.04347372,3.0,17.0,17.0,0.6286349400000002,73.0,13.630289532293986,0.0,13.429844097995543,3.0066815144766146,27.06013363028953,0.2004454342984409,0.6013363028953229,0.6013363028953229,0.0,0.2004454342984409,4.610244988864142,2.0044543429844097,0.2004454342984409,1.2026726057906458,2.2048997772828507,5.412026726057906,1.6035634743875278,0.2004454342984409,0.6013363028953229,0.6013363028953229,0.0,0.0,0.4008908685968819,0.0,0.0,0.0,75.84,44.12,0.0,66.67,0.0,54.76,47.83,66.67,0.0606081862577063,0.0,0.0,0.4008908685968819,0.0087141086859688,0.6013363028953229,3.4075723830734965,3.4075723830734965,0.1260070035634744,14.632516703786193,RB/RCB,54,19,62,100,54,38,77,96,31,73,85,96,31,73,100,92,88,100,42,38,54,42,69,50,54,54,8,69,19,85,42,38,54,54,92,15,35,35,38,54,77,62,69,62,38,19,38,92,31,23,54,85,31,69,62,85,15,46,85,85,54,100,38,23,54,42,46,50,54,54,8,69,19,85,42,38,54,54,62,15,35,31,31,38,62,62,62,54,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,Ole Kolskogen,25,Defender,Norway,Defender,193.0,0.0,30.0,3.0,223.0,0.0,0.0,0.0,0.0,0.0,16.0,444.0,0.0,2.0,6.0,1.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,50.0,0.0,0.0,0.0,51.61,16.67,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.12162162162162,0.0,6.081081081081081,0.6081081081081081,45.2027027027027,0.0,0.0,0.0,0.0,0.0,3.243243243243243,0.0,0.4054054054054054,1.2162162162162162,0.2027027027027027,4.864864864864865,0.8108108108108107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,50.0,0.0,0.0,0.0,51.61,16.67,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,82,38,18,22,56,16,13,13,35,37,63,7,41,90,12,71,57,46,21,21,41,31,28,46,51,51,91,57,38,28,31,21,7,29,12,18,41,9,9,22,9,7,7,7,71,38,3,12,41,16,13,13,35,37,25,7,25,71,6,50,35,46,21,21,41,31,28,46,51,51,91,57,38,28,31,21,7,29,12,18,41,9,9,22,9,7,7,7,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,51ymbnikkta369rn3exb1g7bo,A. Moro,Abdul Moro,20,Midfielder,Ghana,Midfielder,101.0,0.0,47.0,9.0,148.0,0.0,0.0,0.0,0.0,0.0,13.0,264.0,2.0,2.0,6.0,1.0,8.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,88.62,56.25,0.0,0.0,0.0,37.14,50.0,60.0,0.0006472205601742,0.0,0.0,1.0,0.02385149,1.0,9.0,10.0,0.20985284,74.0,34.43181818181819,0.0,16.022727272727273,3.0681818181818183,50.45454545454546,0.0,0.0,0.0,0.0,0.0,4.431818181818183,0.6818181818181819,0.6818181818181819,2.0454545454545454,0.3409090909090909,2.7272727272727275,3.0681818181818183,0.0,1.0227272727272727,1.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,88.62,56.25,0.0,0.0,0.0,37.14,50.0,60.0,0.0002206433727866,0.0,0.0,0.3409090909090909,0.0081311897727272,0.3409090909090909,3.0681818181818183,3.409090909090909,0.0715407409090909,25.22727272727273,DM/CM,90,37,43,88,77,10,8,27,15,27,52,45,35,75,35,75,78,48,60,58,43,23,23,38,52,52,83,70,37,23,23,13,63,53,13,12,27,13,13,35,53,60,53,70,97,37,50,90,80,10,8,27,15,27,40,40,30,90,27,80,97,48,60,60,43,23,23,38,52,52,83,70,37,23,23,13,63,53,13,12,27,10,10,33,53,63,43,77,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,7353ysa16qgg30b9z5qiagys4,A. Saine,Alagie Saine,23,Defender,Gambia,Defender,78.0,0.0,55.0,6.0,133.0,3.0,4.0,4.0,0.0,0.0,36.0,450.0,9.0,6.0,12.0,6.0,37.0,5.0,1.0,13.0,13.0,0.0,1.0,6.0,0.0,0.0,0.0,74.72,28.57,0.0,46.15,25.0,54.55,37.5,66.67,0.4745278370712218,0.2647099477135621,0.0,3.0,0.07235859,1.0,7.0,9.0,0.51442253,62.0,15.6,0.0,11.0,1.2,26.6,0.6,0.8,0.8,0.0,0.0,7.2,1.8,1.2,2.4,1.2,7.4,1.0,0.2,2.6,2.6,0.0,0.2,1.2,0.0,0.0,0.0,74.72,28.57,0.0,46.15,25.0,54.55,37.5,66.67,0.0949055674142443,0.0529419895427124,0.0,0.6,0.014471718,0.2,1.4,1.8,0.102884506,12.4,LB/LCB,73,27,47,50,73,77,80,100,27,33,93,80,80,100,87,100,90,97,100,100,47,80,97,37,53,53,40,33,27,40,80,53,53,63,100,73,27,47,47,43,47,47,80,73,40,27,27,30,40,67,67,87,27,33,87,53,60,87,73,100,60,93,100,100,47,67,87,37,53,53,40,33,27,40,80,53,53,63,93,60,27,33,27,40,40,33,53,53,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,7hso2bszmf4qal560jhrg2904,Y. Ouorou,Yamirou Ouorou,20,Attacker,Benin,Striker,18.0,5.0,34.0,4.0,47.0,8.0,7.0,4.0,3.0,2.0,8.0,303.0,12.0,1.0,5.0,1.0,4.0,2.0,0.0,5.0,6.0,1.0,4.0,1.0,1.0,0.0,0.0,71.21,50.0,41.67,20.0,57.14,29.63,20.0,100.0,0.4793495104137751,1.0249554243670855,4.0,7.0,0.30482024,2.0,3.0,11.0,0.8734605599999998,23.0,5.346534653465347,1.4851485148514851,10.0990099009901,1.188118811881188,13.96039603960396,2.376237623762376,2.07920792079208,1.188118811881188,0.8910891089108911,0.594059405940594,2.376237623762376,3.5643564356435644,0.297029702970297,1.4851485148514851,0.297029702970297,1.188118811881188,0.594059405940594,0.0,1.4851485148514851,1.7821782178217822,0.297029702970297,1.188118811881188,0.297029702970297,0.297029702970297,0.0,0.0,71.21,50.0,41.67,20.0,57.14,29.63,20.0,100.0,0.1423810426971609,0.3044422052575501,1.188118811881188,2.07920792079208,0.0905406653465346,0.594059405940594,0.8910891089108911,3.267326732673267,0.2594437306930692,6.831683168316832,ST,89,100,82,95,84,98,73,61,89,84,34,71,14,98,27,80,93,52,61,61,68,84,30,93,48,50,25,59,93,25,82,11,23,84,57,100,93,89,93,73,73,96,100,89,75,100,75,86,57,96,64,39,82,71,11,50,11,93,21,68,89,52,50,50,57,75,21,93,48,50,25,59,93,25,82,11,23,84,39,100,89,89,89,61,54,93,100,86,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,Adam Herdonsson,22,Midfielder,Sweden,Midfielder,66.0,0.0,32.0,1.0,98.0,2.0,2.0,0.0,2.0,0.0,30.0,307.0,3.0,5.0,5.0,17.0,8.0,10.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,73.13,9.09,0.0,0.0,50.0,61.22,70.83,62.5,0.130042703713245,0.0478805328194468,2.0,2.0,0.04790334,0.0,6.0,7.0,0.1303878899999999,40.0,19.3485342019544,0.0,9.381107491856678,0.2931596091205212,28.729641693811075,0.5863192182410424,0.5863192182410424,0.0,0.5863192182410424,0.0,8.794788273615636,0.8794788273615636,1.4657980456026058,1.4657980456026058,4.98371335504886,2.345276872964169,2.931596091205212,0.0,0.5863192182410424,0.5863192182410424,0.0,0.2931596091205212,0.0,0.0,0.0,0.0,73.13,9.09,0.0,0.0,50.0,61.22,70.83,62.5,0.0381232681895506,0.0140366382858313,0.5863192182410424,0.5863192182410424,0.0140433244299674,0.0,1.7589576547231272,2.052117263843648,0.0382244628664494,11.726384364820849,DM/CM,70,37,27,12,43,47,52,27,70,27,97,60,67,58,100,75,87,48,47,47,43,60,23,38,52,52,13,7,37,23,80,90,87,60,47,30,78,28,32,13,38,38,27,40,60,37,10,7,27,33,47,27,60,27,97,50,57,63,100,73,93,48,43,43,43,60,23,38,52,52,13,7,37,23,80,90,87,60,37,27,77,20,27,13,27,30,20,23,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,bcdrn5rkq3ig50nwr1vtbwfmc,K. Ehibhatiomhan,Kelvin Ehibhatiomhan,23,Attacker,England,Striker,10.0,0.0,16.0,1.0,26.0,1.0,8.0,8.0,0.0,1.0,16.0,261.0,14.0,3.0,1.0,10.0,5.0,0.0,0.0,7.0,7.0,2.0,6.0,2.0,0.0,0.0,0.0,66.67,100.0,0.0,28.57,75.0,36.36,50.0,100.0,0.810620165725822,0.1011314436429228,3.0,2.0,0.0834634,1.0,1.0,2.0,0.0867831099999999,5.0,3.4482758620689657,0.0,5.517241379310345,0.3448275862068966,8.965517241379311,0.3448275862068966,2.7586206896551726,2.7586206896551726,0.0,0.3448275862068966,5.517241379310345,4.827586206896552,1.0344827586206895,0.3448275862068966,3.4482758620689657,1.7241379310344829,0.0,0.0,2.413793103448276,2.413793103448276,0.6896551724137931,2.0689655172413794,0.6896551724137931,0.0,0.0,0.0,66.67,100.0,0.0,28.57,75.0,36.36,50.0,100.0,0.2795241950778696,0.0348729116010078,1.0344827586206895,0.6896551724137931,0.0287804827586206,0.3448275862068966,0.3448275862068966,0.6896551724137931,0.0299252103448275,1.7241379310344829,ST,61,43,32,61,39,25,82,88,23,52,82,84,61,48,93,89,32,52,82,70,96,98,62,43,48,50,21,89,43,36,100,32,70,84,75,36,84,39,46,54,34,38,57,16,36,43,11,50,11,14,71,82,23,43,71,71,46,43,89,89,32,52,71,61,93,93,50,43,48,50,21,89,43,36,100,32,70,84,71,18,86,29,39,50,29,32,50,4,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,Karlo Lusavec,22,Midfielder,Croatia,Midfielder,102.0,0.0,51.0,7.0,153.0,0.0,1.0,0.0,1.0,1.0,12.0,310.0,0.0,3.0,4.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.17,63.64,0.0,0.0,0.0,41.38,66.67,57.14,0.0939121916851022,0.0,0.0,3.0,0.04986937,0.0,6.0,5.0,0.1359341299999999,76.0,29.61290322580645,0.0,14.806451612903224,2.032258064516129,44.41935483870967,0.0,0.2903225806451612,0.0,0.2903225806451612,0.2903225806451612,3.4838709677419355,0.0,0.8709677419354839,1.161290322580645,0.5806451612903225,2.32258064516129,2.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.17,63.64,0.0,0.0,0.0,41.38,66.67,57.14,0.0272648298440619,0.0,0.0,0.8709677419354839,0.0144782041935483,0.0,1.7419354838709675,1.4516129032258065,0.0394647474193548,22.064516129032256,DM/CM,93,37,53,77,80,10,27,27,43,67,43,8,47,50,55,75,78,48,12,10,43,23,23,38,52,52,93,87,37,23,23,23,80,48,27,12,27,47,37,13,38,28,33,73,80,37,43,63,67,10,20,27,40,63,23,8,40,40,43,70,90,48,12,10,43,23,23,38,52,52,93,87,37,23,23,23,80,48,20,12,27,40,30,13,23,13,23,63,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,Julius Madsen,23,Midfielder,Denmark,Midfielder,43.0,3.0,69.0,8.0,109.0,6.0,9.0,3.0,6.0,2.0,18.0,448.0,8.0,8.0,3.0,3.0,12.0,3.0,0.0,4.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,81.95,61.54,23.08,50.0,33.33,34.62,30.0,60.0,0.7392379296505394,0.5694915266534889,4.0,3.0,0.05352507,1.0,19.0,10.0,0.42049794,58.0,8.638392857142858,0.6026785714285714,13.861607142857142,1.6071428571428572,21.897321428571427,1.2053571428571428,1.8080357142857144,0.6026785714285714,1.2053571428571428,0.4017857142857143,3.616071428571429,1.6071428571428572,1.6071428571428572,0.6026785714285714,0.6026785714285714,2.4107142857142856,0.6026785714285714,0.0,0.8035714285714286,0.8035714285714286,0.0,0.6026785714285714,0.4017857142857143,0.2008928571428571,0.0,0.0,81.95,61.54,23.08,50.0,33.33,34.62,30.0,60.0,0.1485076197958672,0.1144067799080669,0.8035714285714286,0.6026785714285714,0.0107528042410714,0.2008928571428571,3.8169642857142856,2.008928571428571,0.0844750325892857,11.651785714285714,CM/AM,52,72,43,87,43,50,74,46,83,35,61,24,85,48,61,98,57,52,37,37,28,74,39,80,50,52,52,78,57,48,63,13,30,46,70,57,85,20,13,11,78,39,39,48,30,65,22,65,17,30,48,30,70,22,22,17,59,26,30,91,39,52,17,13,28,61,26,70,50,52,52,78,57,48,63,13,30,46,43,30,61,13,4,9,61,9,17,30,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,uiyol728wan4mxco2foplknp,A. Justinussen,Adrian Justinussen,28,Attacker,Faroe Islands,Striker,24.0,0.0,23.0,1.0,47.0,4.0,4.0,1.0,3.0,0.0,17.0,277.0,4.0,4.0,4.0,5.0,3.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,85.45,100.0,0.0,50.0,50.0,39.53,26.32,66.67,0.1682230923649026,0.2776505783308428,1.0,3.0,0.1604545299999999,3.0,3.0,5.0,0.0656527299999999,20.0,7.79783393501805,0.0,7.472924187725631,0.3249097472924188,15.27075812274368,1.2996389891696751,1.2996389891696751,0.3249097472924188,0.9747292418772564,0.0,5.523465703971119,1.2996389891696751,1.2996389891696751,1.2996389891696751,1.624548736462094,0.9747292418772564,0.0,0.0,1.2996389891696751,1.2996389891696751,0.6498194945848376,0.6498194945848376,0.6498194945848376,0.0,0.3249097472924188,0.0,85.45,100.0,0.0,50.0,50.0,39.53,26.32,66.67,0.0546573224290297,0.090211379241068,0.3249097472924188,0.9747292418772564,0.0521332407942237,0.9747292418772564,0.9747292418772564,1.624548736462094,0.0213312119133573,6.498194945848375,ST,100,43,68,61,84,79,46,16,89,16,86,9,80,93,68,70,32,52,54,50,96,54,62,43,98,50,93,89,43,64,71,46,32,55,11,71,55,66,75,91,73,77,46,86,96,43,39,46,75,64,21,11,86,16,75,4,61,89,50,54,32,52,46,39,86,46,43,43,96,50,93,89,43,64,71,46,32,55,11,61,50,46,57,86,68,68,32,82,Danish Superliga
AGF,5rz9enoyknpg8ji78za5b82p0,1ax8roimt2kq507xi3xyutxqs,M. Camara,Mouhammade Camara,19,Defender,Mali,Defender,124.0,0.0,62.0,7.0,186.0,1.0,0.0,0.0,0.0,0.0,15.0,247.0,6.0,2.0,3.0,9.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.57,35.0,0.0,0.0,0.0,51.72,45.0,75.0,0.0,0.0942135454166039,0.0,0.0,0.0,0.0,9.0,7.0,0.25537622,129.0,45.18218623481781,0.0,22.591093117408903,2.5506072874493926,67.77327935222672,0.3643724696356275,0.0,0.0,0.0,0.0,5.465587044534413,2.1862348178137654,0.728744939271255,1.0931174089068827,3.279352226720648,7.651821862348178,2.91497975708502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.57,35.0,0.0,0.0,0.0,51.72,45.0,75.0,0.0,0.0343288222165763,0.0,0.0,0.0,0.0,3.279352226720648,2.5506072874493926,0.0930520639676113,47.00404858299595,CB,53,38,49,46,50,46,13,13,35,37,51,62,41,49,69,65,90,46,21,21,41,31,28,46,51,51,50,26,38,28,31,24,32,63,12,53,41,9,9,22,47,43,29,57,79,38,62,50,79,50,13,13,35,37,79,62,53,62,88,91,100,46,21,21,41,31,28,46,51,51,50,26,38,28,31,24,32,63,12,56,41,9,9,22,50,41,41,94,Danish Superliga
AGF,5rz9enoyknpg8ji78za5b82p0,1sbqjod03ch1xm77et7fzn4lw,J. Bogere,James Bogere,18,Attacker,Uganda,Striker,14.0,0.0,18.0,1.0,32.0,3.0,7.0,7.0,0.0,2.0,7.0,209.0,10.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,80.0,100.0,0.0,66.67,28.57,38.89,0.0,75.0,0.7106946185886028,0.2268297569877078,0.0,1.0,0.0199707,0.0,2.0,4.0,0.05678087,14.0,6.028708133971292,0.0,7.751196172248803,0.4306220095693779,13.779904306220097,1.2918660287081338,3.014354066985646,3.014354066985646,0.0,0.8612440191387559,3.014354066985646,4.30622009569378,0.4306220095693779,1.2918660287081338,0.0,0.4306220095693779,0.0,0.0,1.2918660287081338,1.2918660287081338,0.4306220095693779,0.8612440191387559,0.8612440191387559,0.0,0.0,0.0,80.0,100.0,0.0,66.67,28.57,38.89,0.0,75.0,0.3060407448467667,0.0976778857841803,0.0,0.4306220095693779,0.0085998229665071,0.0,0.8612440191387559,1.7224880382775118,0.0244510923444976,6.028708133971292,ST,80,43,50,61,61,62,73,79,23,84,25,61,14,86,11,29,32,52,43,41,68,54,62,43,48,50,82,89,43,75,36,39,11,61,68,61,23,18,18,23,54,62,43,68,82,43,48,59,54,61,82,93,23,86,21,64,14,86,11,23,32,52,43,36,62,57,61,43,48,50,82,89,43,75,36,39,11,61,75,71,23,14,14,23,46,71,39,79,Danish Superliga
