Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total att assist_Total,total mins played,total accurate long balls_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total blocked scoring att_Total,total goals_Total,total assists_Total,total big chances saved_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total att assist_p90,total accurate long balls_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total blocked scoring att_p90,total goals_p90,total assists_p90,total big chances saved_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total accurate long balls_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total att assist_p90PR,total accurate long balls_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,2uyo09o5dotyzlme4pxosx591,F. Aliti,Fidan Aliti,32,Defender,Kosovo,Defender,36.0,11.0,47.0,0.0,180.0,6.0,1.0,1.0,7.0,3.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,87.04,66.67,0.0,100.0,0.0,58.33,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.5,23.5,0.0,3.0,0.5,0.5,3.5,1.5,4.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,87.04,66.67,0.0,100.0,0.0,58.33,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,24,13,17,27,69,61,61,44,11,100,74,51,44,17,21,26,39,39,20,96,47,51,47,49,51,51,34,74,44,84,39,57,16,53,21,31,41,33,33,36,16,17,14,14,20,13,14,27,63,53,53,41,9,100,69,49,44,14,21,26,39,39,20,87,47,51,47,49,51,51,34,74,44,84,39,57,16,53,21,31,41,33,33,36,16,17,14,14,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,5wnt4q34ojngvtxturq18rvmd,Hwang Ui-Jo,Ui-Jo Hwang,33,Attacker,Korea Republic,Striker,11.0,17.0,28.0,0.0,134.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,82.35,100.0,0.0,33.33,0.0,36.36,0.0,0.0,0.0882365078439965,0.0,2.0,1.0,0.02855202,2.0,2.0,3.0,0.0358438899999998,11.0,7.388059701492537,11.417910447761194,18.80597014925373,0.0,0.6716417910447761,2.014925373134328,2.014925373134328,2.686567164179104,0.0,0.6716417910447761,0.6716417910447761,0.0,0.0,0.6716417910447761,1.343283582089552,0.0,1.343283582089552,0.0,0.0,2.014925373134328,0.6716417910447761,0.0,0.0,0.0,0.0,0.0,82.35,100.0,0.0,33.33,0.0,36.36,0.0,0.0,0.0592633261638782,0.0,1.343283582089552,0.6716417910447761,0.0191767298507462,1.343283582089552,1.343283582089552,2.014925373134328,0.0240742544776118,7.388059701492537,ST,68,60,58,13,70,68,65,20,30,72,58,25,37,28,20,10,73,22,5,67,48,32,43,52,52,52,77,97,37,53,22,30,15,25,17,15,77,47,50,80,58,67,40,70,73,67,80,13,80,80,77,23,30,90,63,25,37,33,23,10,83,22,5,77,57,32,43,52,52,52,77,97,37,53,22,30,15,25,17,15,90,53,50,83,57,70,40,77,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,btdiw5i7gt94ikdrhv91dgcus,B. Gezek,Baran Gezek,20,Midfielder,Türkiye,Midfielder,13.0,8.0,21.0,0.0,92.0,2.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77,66.67,0.0,100.0,0.0,42.86,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.717391304347828,7.82608695652174,20.543478260869566,0.0,1.956521739130435,0.9782608695652176,0.9782608695652176,2.9347826086956523,2.9347826086956523,0.0,0.9782608695652176,0.9782608695652176,0.0,0.9782608695652176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77,66.67,0.0,100.0,0.0,42.86,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,6,5,6,17,20,64,64,17,81,9,73,44,41,44,20,31,31,41,25,12,41,47,47,52,52,52,25,64,41,89,41,33,25,91,20,20,33,23,23,28,14,14,14,14,19,3,9,17,34,75,75,34,84,9,81,47,41,53,20,31,31,41,25,12,41,47,47,52,52,52,25,64,41,89,41,33,25,91,20,20,33,23,23,28,14,14,14,14,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,bv9ejevyrwdqc1j5rw4tkiy1h,F. Hadërgjonaj,Florent Hadërgjonaj,32,Defender,Kosovo,Defender,19.0,37.0,49.0,5.0,180.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,73.13,53.85,36.84,0.0,0.0,50.0,50.0,100.0,0.0,0.5787001696601092,0.0,1.0,0.06442595,1.0,7.0,9.0,0.3826536299999999,24.0,9.5,18.5,24.5,2.5,3.5,0.0,0.0,1.5,2.0,0.0,0.0,0.5,3.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,73.13,53.85,36.84,0.0,0.0,50.0,50.0,100.0,0.0,0.2893500848300546,0.0,0.5,0.032212975,0.5,3.5,4.5,0.1913268149999999,12.0,RB/RCB,16,75,34,97,91,25,25,9,31,6,31,38,100,38,22,28,44,34,44,47,47,47,91,47,53,53,25,75,88,31,34,47,69,75,22,100,44,59,69,81,88,88,88,50,6,62,22,97,91,25,25,9,28,6,31,31,100,31,22,28,44,34,34,41,47,47,88,47,53,53,25,75,88,31,34,47,69,75,22,100,44,53,69,81,81,88,88,44,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,bwg7au78c88g5cfl4njizr3mc,Ü. Akdağ,Ümit Akdag,22,Defender,Romania,Defender,27.0,27.0,54.0,1.0,180.0,5.0,5.0,6.0,14.0,6.0,1.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,35.71,0.0,80.0,0.0,70.0,75.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,27.0,0.5,2.5,2.5,3.0,7.0,3.0,0.5,2.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,35.71,0.0,80.0,0.0,70.0,75.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,32,48,45,52,78,95,98,100,82,48,98,65,28,88,20,30,35,38,52,22,40,50,48,50,52,52,10,45,28,80,38,78,98,35,20,25,30,18,18,25,12,12,12,12,28,40,30,48,65,95,98,100,70,40,98,52,28,80,20,30,35,38,48,22,40,50,48,50,52,52,10,45,28,80,38,78,98,35,20,25,30,18,18,25,12,12,12,12,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,c7ktjbc3jqj8kiwc8ru6sat5g,Ruan,Ruan Pereira Duarte,21,Attacker,Brazil,Striker,8.0,17.0,25.0,0.0,174.0,2.0,3.0,3.0,8.0,1.0,3.0,2.0,2.0,0.0,2.0,5.0,4.0,1.0,2.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,75.76,100.0,0.0,66.67,40.0,50.0,66.67,100.0,0.5524556192898974,0.0,1.0,2.0,0.04398591,0.0,3.0,6.0,0.11349576,14.0,4.137931034482759,8.793103448275861,12.93103448275862,0.0,1.0344827586206895,1.5517241379310345,1.5517241379310345,4.137931034482759,0.5172413793103449,1.5517241379310345,1.0344827586206895,1.0344827586206895,0.0,1.0344827586206895,2.586206896551724,2.0689655172413794,0.5172413793103449,1.0344827586206895,4.137931034482759,1.0344827586206895,1.0344827586206895,0.5172413793103449,0.0,0.0,0.0,0.0,75.76,100.0,0.0,66.67,40.0,50.0,66.67,100.0,0.2857529065292573,0.0,0.5172413793103449,1.0344827586206895,0.0227513327586206,0.0,1.5517241379310345,3.103448275862069,0.0587047034482758,7.241379310344827,LW,25,50,50,33,67,17,17,67,75,92,58,75,50,67,83,100,42,75,83,67,83,92,58,58,58,58,33,92,50,100,67,83,100,75,100,33,58,17,17,25,58,67,67,58,17,33,33,33,67,17,17,50,75,92,25,67,50,67,67,100,33,67,67,67,83,83,58,58,58,58,33,92,50,100,67,83,100,75,83,33,50,17,17,25,50,67,50,50,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,c7uxn96yuy4m7s2ibr80hgc4q,İ. Kaya,Ibrahim Kaya,25,Attacker,Türkiye,Striker,5.0,12.0,17.0,3.0,155.0,1.0,3.0,3.0,14.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,73.91,50.0,0.0,33.33,33.33,63.64,28.57,66.67,0.1871533996566879,0.1986982786749279,2.0,2.0,0.05256723,0.0,0.0,0.0,0.01633784,3.0,2.9032258064516125,6.967741935483871,9.870967741935484,1.7419354838709675,0.5806451612903225,1.7419354838709675,1.7419354838709675,8.129032258064516,0.0,0.0,0.5806451612903225,1.161290322580645,0.0,1.161290322580645,1.7419354838709675,1.161290322580645,0.5806451612903225,0.5806451612903225,2.9032258064516125,4.64516129032258,0.5806451612903225,0.0,0.0,0.0,0.0,0.0,73.91,50.0,0.0,33.33,33.33,63.64,28.57,66.67,0.1086697159296897,0.1153731940693129,1.161290322580645,1.161290322580645,0.0305229077419354,0.0,0.0,0.0,0.0094864877419354,1.7419354838709675,ST,25,45,42,82,70,68,65,90,30,27,58,88,37,40,33,38,40,55,43,100,48,32,43,52,52,52,53,70,37,53,70,87,37,60,30,70,77,58,60,30,13,10,17,15,20,43,40,83,70,62,58,90,30,27,52,87,37,40,27,37,33,50,47,100,43,32,43,52,52,52,53,70,37,53,70,87,37,60,27,70,83,60,60,30,13,10,17,10,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,eyllkbdemtx2seh48r9l3czbp,G. Makouta,Gaïus Makouta,29,Midfielder,Congo,Midfielder,28.0,34.0,62.0,1.0,168.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.93,55.56,0.0,0.0,0.0,50.0,0.0,100.0,0.2425824920606913,0.0746229507542947,1.0,8.0,0.1957217299999999,5.0,7.0,8.0,0.1649725999999999,33.0,15.0,18.214285714285715,33.214285714285715,0.5357142857142857,2.6785714285714284,0.0,0.0,1.6071428571428572,1.0714285714285714,0.0,0.0,0.5357142857142857,0.0,0.5357142857142857,1.6071428571428572,0.5357142857142857,1.0714285714285714,0.0,0.5357142857142857,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,84.93,55.56,0.0,0.0,0.0,50.0,0.0,100.0,0.1299549064610846,0.0399765807612293,0.5357142857142857,4.285714285714286,0.1048509267857142,2.6785714285714284,3.75,4.285714285714286,0.0883781785714285,17.678571428571427,DM/CM,50,56,56,53,67,25,25,17,64,9,31,44,41,44,89,78,84,41,61,36,41,47,47,52,52,52,38,39,41,31,41,48,25,91,88,66,75,95,97,97,61,70,69,56,25,53,28,44,53,25,25,6,59,9,31,34,41,38,88,75,84,41,56,31,41,47,47,52,52,52,38,39,41,31,41,48,25,91,84,56,69,94,94,97,47,66,62,50,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,Nuno Miguel Reis Lima,25,Defender,Portugal,Defender,40.0,18.0,58.0,1.0,179.0,6.0,1.0,1.0,8.0,9.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,87.88,60.0,0.0,0.0,100.0,53.33,40.0,75.0,0.0928458495956045,0.0433163640651391,0.0,0.0,0.0,0.0,3.0,2.0,0.04715157,21.0,20.11173184357542,9.05027932960894,29.16201117318436,0.5027932960893855,3.016759776536313,0.5027932960893855,0.5027932960893855,4.022346368715084,4.5251396648044695,0.5027932960893855,0.0,1.5083798882681565,0.0,1.005586592178771,0.5027932960893855,0.5027932960893855,0.0,0.5027932960893855,0.5027932960893855,1.005586592178771,0.0,0.5027932960893855,0.0,0.0,0.0,0.0,87.88,60.0,0.0,0.0,100.0,53.33,40.0,75.0,0.0466822707463933,0.0217791774629191,0.0,0.0,0.0,0.0,1.5083798882681565,1.005586592178771,0.0237074932960893,10.558659217877096,RB/RCB,69,28,56,53,81,59,56,78,66,22,31,84,28,59,66,75,44,84,44,72,47,97,41,47,53,53,69,84,28,31,91,59,56,44,69,56,44,25,25,38,53,38,38,44,69,25,44,50,75,56,56,69,62,12,31,81,28,56,69,69,44,88,44,69,47,100,41,47,53,53,69,84,28,31,91,59,56,44,62,56,44,25,25,38,56,38,38,38,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,ray2bklw80bcyydzk7wmgutw,A. Usluoğlu,Arda Usluoglu,19,Attacker,Türkiye,Striker,8.0,7.0,15.0,1.0,143.0,0.0,3.0,3.0,8.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,65.22,0.0,0.0,33.33,33.33,33.33,33.33,100.0,0.3416328024368283,0.0885576440067671,1.0,0.0,0.0,0.0,3.0,3.0,0.04243059,4.0,5.034965034965035,4.405594405594406,9.440559440559442,0.6293706293706294,0.0,1.888111888111888,1.888111888111888,5.034965034965035,0.0,0.0,0.6293706293706294,0.6293706293706294,0.0,1.2587412587412588,1.888111888111888,1.2587412587412588,0.6293706293706294,0.6293706293706294,1.2587412587412588,2.517482517482517,0.6293706293706294,0.0,0.0,0.0,0.0,0.0,65.22,0.0,0.0,33.33,33.33,33.33,33.33,100.0,0.2150136518833185,0.0557355801441191,0.6293706293706294,0.0,0.0,0.0,1.888111888111888,1.888111888111888,0.0267045671328671,2.517482517482517,ST,45,23,32,40,28,68,65,48,30,27,58,65,37,40,33,38,40,55,17,87,48,32,43,52,52,52,23,28,37,53,70,20,40,83,40,57,45,20,20,30,75,67,47,27,50,17,30,37,28,67,63,53,30,27,60,63,37,43,33,43,47,57,13,93,50,32,43,52,52,52,23,28,37,53,70,20,40,83,40,53,50,20,20,30,73,67,47,30,Süper Lig
Amed,2154uhyeun0lm781iiiijqhwo,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,Yira Sor,26,Attacker,Nigeria,Striker,15.0,36.0,51.0,2.0,167.0,0.0,4.0,5.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,86.44,0.0,0.0,50.0,0.0,41.67,0.0,100.0,0.0494749446948127,0.1689594064966278,0.0,6.0,0.17343567,4.0,3.0,0.0,0.10423397,14.0,8.08383233532934,19.40119760479042,27.48502994011976,1.0778443113772456,0.0,2.155688622754491,2.694610778443113,2.694610778443113,0.0,1.0778443113772456,1.0778443113772456,1.0778443113772456,0.0,0.0,0.5389221556886228,0.5389221556886228,0.0,0.0,5.389221556886227,0.5389221556886228,0.5389221556886228,0.0,0.0,0.0,0.0,0.0,86.44,0.0,0.0,50.0,0.0,41.67,0.0,100.0,0.0266631438475038,0.0910559675730329,0.0,3.2335329341317363,0.0934683251497005,2.155688622754491,1.616766467065868,0.0,0.0561739958083832,7.544910179640718,LW,83,67,83,83,17,50,58,17,33,42,58,75,50,33,25,42,17,17,100,33,50,42,58,58,58,58,83,17,50,67,17,33,50,75,17,83,25,92,100,92,58,25,50,58,83,67,67,83,17,50,50,17,33,17,50,83,50,33,17,33,17,17,100,33,33,42,58,58,58,58,83,17,50,67,17,33,50,75,17,83,25,83,83,83,67,25,33,67,Süper Lig
Amed,2154uhyeun0lm781iiiijqhwo,22d5ejckyt7302b4hw9m6a76x,M. Yeşil,Mehmet Yesil,28,Defender,Türkiye,Defender,69.0,14.0,83.0,0.0,135.0,5.0,0.0,0.0,5.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,85.57,45.45,0.0,0.0,0.0,71.43,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.333333333333334,55.333333333333336,0.0,3.333333333333333,0.0,0.0,3.333333333333333,4.666666666666667,1.3333333333333333,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,85.57,45.45,0.0,0.0,0.0,71.43,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB/RCB,88,9,81,25,72,25,25,38,56,44,31,38,28,59,22,28,44,34,44,72,47,47,41,47,53,53,38,44,28,31,34,94,69,75,22,25,44,25,25,38,19,19,19,19,100,31,88,25,81,25,25,44,69,50,31,50,28,62,22,28,44,34,56,75,47,47,41,47,53,53,38,44,28,31,34,94,69,75,22,25,44,25,25,38,19,19,19,19,Süper Lig
Amed,2154uhyeun0lm781iiiijqhwo,2aryulqex3ercfr5naj04x9zp,D. Sabi'a,Diaa Sabi'a,33,Attacker,Israel,Striker,12.0,23.0,33.0,0.0,162.0,1.0,2.0,2.0,10.0,1.0,1.0,2.0,3.0,2.0,0.0,6.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,75.0,50.0,14.29,100.0,33.33,66.67,0.0,50.0,0.9253611524726966,0.0,2.0,2.0,0.0478667,2.0,2.0,5.0,0.0696837299999999,15.0,6.666666666666666,12.777777777777777,18.33333333333333,0.0,0.5555555555555556,1.1111111111111112,1.1111111111111112,5.555555555555555,0.5555555555555556,0.5555555555555556,1.1111111111111112,1.6666666666666663,1.1111111111111112,0.0,3.333333333333333,1.6666666666666663,1.6666666666666663,1.1111111111111112,2.7777777777777777,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,75.0,50.0,14.29,100.0,33.33,66.67,0.0,50.0,0.5140895291514981,0.0,1.1111111111111112,1.1111111111111112,0.0265926111111111,1.1111111111111112,1.1111111111111112,2.7777777777777777,0.0387131833333332,8.333333333333334,ST,75,83,78,13,70,47,42,68,72,72,85,98,92,12,77,52,95,75,43,48,73,93,43,52,52,52,57,70,80,97,70,93,15,52,93,15,77,58,57,80,58,82,60,87,63,83,73,13,67,43,40,67,70,70,83,100,90,12,70,50,97,73,43,47,70,97,43,52,52,52,57,70,80,97,70,93,15,52,83,15,80,57,57,77,53,77,60,83,Süper Lig
Amed,2154uhyeun0lm781iiiijqhwo,ad3d93oh7zcf8rozwheaklpwq,S. Ballet,Samuel Ballet,25,Attacker,Switzerland,Striker,8.0,16.0,24.0,2.0,94.0,1.0,3.0,3.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,70.59,50.0,0.0,66.67,66.67,41.18,0.0,50.0,0.2115442514470591,0.2029072409203774,2.0,1.0,0.05491138,1.0,2.0,3.0,0.12435648,8.0,7.659574468085106,15.319148936170212,22.97872340425532,1.9148936170212765,0.9574468085106382,2.872340425531915,2.872340425531915,6.702127659574468,0.0,0.0,1.9148936170212765,0.9574468085106382,0.0,0.0,2.872340425531915,1.9148936170212765,0.9574468085106382,1.9148936170212765,6.702127659574468,2.872340425531915,0.0,0.0,0.9574468085106382,0.0,0.0,0.0,70.59,50.0,0.0,66.67,66.67,41.18,0.0,50.0,0.2025423684067587,0.1942728902429145,1.9148936170212765,0.9574468085106382,0.0525747255319148,0.9574468085106382,1.9148936170212765,2.872340425531915,0.119064714893617,7.659574468085106,RW,20,27,27,30,47,40,33,40,20,27,47,67,20,23,53,60,53,63,83,63,30,37,90,53,53,53,20,50,20,77,73,40,33,63,53,47,63,10,13,43,40,50,40,23,33,60,47,67,53,60,60,93,20,27,67,80,20,23,80,87,73,80,93,93,30,37,93,53,53,53,20,50,20,77,73,40,33,63,73,73,87,13,53,53,60,67,53,47,Süper Lig
Amed,2154uhyeun0lm781iiiijqhwo,adrn1x15rsehvnava8q9ofuvo,G. Orban,Gift Orban,24,Attacker,Nigeria,Striker,8.0,25.0,33.0,4.0,178.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,86.84,66.67,0.0,33.33,0.0,13.33,0.0,100.0,0.558779900894688,0.2221331433097614,2.0,4.0,0.09107768,2.0,5.0,8.0,0.2861069499999999,12.0,4.044943820224719,12.640449438202246,16.685393258426966,2.02247191011236,1.0112359550561798,1.5168539325842696,1.5168539325842696,1.0112359550561798,0.0,0.0,0.5056179775280899,0.5056179775280899,0.0,0.0,2.02247191011236,0.5056179775280899,1.5168539325842696,0.0,1.5168539325842696,0.0,0.5056179775280899,0.0,0.5056179775280899,0.0,0.0,0.0,86.84,66.67,0.0,33.33,0.0,13.33,0.0,100.0,0.2825291633737186,0.1123145106622389,1.0112359550561798,2.02247191011236,0.0460505123595505,1.0112359550561798,2.528089887640449,4.044943820224719,0.1446608174157302,6.067415730337078,ST,45,87,78,95,90,68,65,10,30,27,58,65,37,12,47,25,95,22,25,8,48,32,93,52,52,52,97,82,37,53,22,7,15,83,60,77,77,83,70,80,90,92,87,77,43,80,63,90,87,53,50,10,30,27,43,53,37,12,37,20,92,22,23,8,40,32,90,52,52,52,97,82,37,53,22,7,15,83,53,67,68,80,67,73,90,90,83,67,Süper Lig
Amed,2154uhyeun0lm781iiiijqhwo,baogzi00mwdclwbvkd618evv9,R. Raveloson,Rayan Raveloson,29,Midfielder,Madagascar,Midfielder,45.0,36.0,81.0,1.0,170.0,1.0,5.0,5.0,10.0,2.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,86.17,33.33,0.0,60.0,0.0,52.63,66.67,66.67,0.2503691524047125,0.0444580883968271,2.0,3.0,0.0983851,2.0,10.0,5.0,0.1314846599999999,42.0,23.823529411764707,19.058823529411764,42.88235294117647,0.5294117647058824,0.5294117647058824,2.647058823529412,2.647058823529412,5.294117647058823,1.0588235294117647,0.0,1.5882352941176472,1.0588235294117647,0.0,1.0588235294117647,1.5882352941176472,0.5294117647058824,1.0588235294117647,0.0,1.0588235294117647,1.0588235294117647,1.0588235294117647,0.0,0.0,0.0,0.0,0.0,86.17,33.33,0.0,60.0,0.0,52.63,66.67,66.67,0.1325483748024948,0.0235366350336143,1.0588235294117647,1.5882352941176472,0.0520862294117647,1.0588235294117647,5.294117647058823,2.647058823529412,0.0696095258823528,22.23529411764705,DM/CM,78,66,69,53,9,98,98,75,64,9,98,64,41,73,89,78,84,41,80,64,100,47,47,52,52,52,47,12,41,69,41,59,95,56,91,44,92,69,84,72,81,50,56,69,70,62,56,39,9,94,94,64,56,9,97,66,41,66,84,70,81,41,77,56,100,47,47,52,52,52,47,12,41,69,41,59,95,56,88,41,94,67,81,69,72,44,56,62,Süper Lig
