Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total interception_Total,total big chances saved_Total,total accurate cross_Total,total assists_Total,total attempts obox_Total,total blocked scoring att_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total interception_p90,total big chances saved_p90,total accurate cross_p90,total assists_p90,total attempts obox_p90,total blocked scoring att_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total interception_p90PR,total big chances saved_p90PR,total accurate cross_p90PR,total assists_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,1lyedukw5k3tit02e25631m21,C. Kahraman,Cihan Kahraman,27.0,Midfielder,Türkiye,Midfielder,20.0,33.0,0.0,50.0,0.0,4.0,1.0,1.0,7.0,8.0,8.0,1.0,0.0,217.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,83.33,0.0,42.86,57.14,0.0,38.1,0.0,100.0,0.100056458719001,0.4529473399966935,1.0,7.0,0.16141687,5.0,2.0,5.0,0.09943175,23.0,8.294930875576037,13.68663594470046,0.0,20.737327188940093,0.0,1.6589861751152075,0.4147465437788019,0.4147465437788019,2.903225806451613,3.317972350230415,3.317972350230415,0.4147465437788019,0.0,0.0,0.4147465437788019,0.8294930875576038,1.6589861751152075,0.8294930875576038,0.8294930875576038,0.0,1.2442396313364057,0.4147465437788019,0.0,0.0,83.33,0.0,42.86,57.14,0.0,38.1,0.0,100.0,0.041498070436452,0.1878583437774305,0.4147465437788019,2.903225806451613,0.0669470889400921,2.0737327188940093,0.8294930875576038,2.0737327188940093,0.0412389746543778,9.539170506912445,CM/AM,43,43,10,43,14,76,14,21,71,76,31,36,33,14,10,40,74,45,76,52,76,83,19,24,40,10,86,71,14,24,24,90,19,76,50,100,90,95,19,57,29,57,48,38,10,38,14,62,10,19,76,76,19,29,33,14,14,38,71,43,76,52,71,86,19,24,40,10,86,71,14,24,24,90,19,71,52,90,81,100,19,43,29,48,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,1xfp8m5avfbrw5xsbi5n34ep6,N. Michelis,Nikos Michelis,25.0,Defender,Greece,Defender,64.0,21.0,7.0,85.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,135.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.63,50.0,0.0,0.0,0.0,75.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.66666666666666,14.0,4.666666666666667,56.66666666666666,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,87.63,50.0,0.0,0.0,0.0,75.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,41,28,55,35,52,30,20,24,30,30,31,45,45,42,64,49,32,45,10,46,45,49,41,44,40,60,45,32,42,94,96,82,21,36,44,31,31,34,21,20,20,20,68,42,79,52,71,30,20,24,30,30,60,85,45,42,79,64,32,60,10,46,45,49,41,44,40,60,45,32,42,94,96,82,21,36,44,31,31,34,21,20,20,20,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,20ch97kml3q3k5vpszpbibjdh,Igor Milioransa,Igor Milioransa,29.0,Defender,Brazil,Defender,42.0,14.0,3.0,55.0,1.0,1.0,0.0,0.0,4.0,4.0,5.0,6.0,0.0,135.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,78.57,37.5,100.0,50.0,0.0,41.67,0.0,100.0,0.0,0.1156325001932411,0.0,1.0,0.02122129,1.0,2.0,4.0,0.14830912,21.0,28.0,9.333333333333334,2.0,36.66666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,2.6666666666666665,2.6666666666666665,3.333333333333333,4.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,78.57,37.5,100.0,50.0,0.0,41.67,0.0,100.0,0.0,0.0770883334621607,0.0,0.6666666666666666,0.0141475266666666,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.0988727466666666,14.0,LB/LCB,68,11,50,32,21,45,37,50,71,71,18,55,50,47,24,18,74,39,37,50,55,47,37,47,16,39,100,74,47,26,13,92,37,58,42,66,66,61,45,58,53,53,100,11,71,79,24,53,37,50,84,84,42,79,50,47,24,18,89,66,42,50,61,47,37,47,16,39,100,74,47,26,13,92,37,63,42,68,74,58,47,84,63,68,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,26xfdtho3pl5695tlebo6hcrt,Pedro Barcelos,Pedro Henrique Barcelos Silva,30.0,Defender,Brazil,Defender,28.0,26.0,3.0,54.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,141.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,87.1,42.86,0.0,0.0,0.0,72.22,60.0,75.0,0.0,0.0328942946478796,0.0,0.0,0.0,2.0,2.0,3.0,0.06033029,16.0,17.872340425531917,16.595744680851062,1.9148936170212767,34.46808510638298,1.9148936170212767,0.6382978723404256,0.0,0.0,0.0,0.0,8.297872340425531,2.5531914893617023,0.0,0.0,0.0,1.2765957446808511,0.0,3.8297872340425534,1.2765957446808511,0.0,0.0,0.0,0.0,0.0,87.1,42.86,0.0,0.0,0.0,72.22,60.0,75.0,0.0,0.0209963582858805,0.0,0.0,0.0,1.2765957446808511,1.2765957446808511,1.9148936170212767,0.0385086957446808,10.212765957446807,LB/LCB,21,42,50,24,58,45,37,50,8,8,79,26,50,47,24,66,18,95,58,50,24,47,37,47,89,58,24,18,47,95,53,68,37,42,42,29,29,79,45,42,42,42,63,68,63,63,95,47,37,50,8,8,95,53,50,47,24,79,18,100,79,50,24,47,37,47,89,58,24,18,47,95,53,68,37,42,42,29,29,89,42,53,37,53,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,2hap44i3j488f2tdolqk3ty39,André Ceitil,André Filipe Castanheira Ceitil,31.0,Midfielder,Portugal,Midfielder,22.0,9.0,4.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,117.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,83.78,66.67,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.923076923076923,6.9230769230769225,3.0769230769230766,23.846153846153847,1.5384615384615383,0.0,0.0,0.0,0.0,0.0,2.3076923076923075,5.384615384615384,0.0,0.0,0.0,0.7692307692307692,0.0,0.0,1.5384615384615383,0.0,0.0,0.0,0.0,0.0,83.78,66.67,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,5fuhsuoevtbczleyh6aqmqne,A. Correia,Anthony Correia,26.0,Defender,France,Defender,102.0,33.0,13.0,135.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,16.0,0.0,270.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,86.54,52.0,0.0,0.0,0.0,43.75,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,4.333333333333333,45.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,2.333333333333333,5.333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,86.54,52.0,0.0,0.0,0.0,43.75,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,65,40,85,65,72,70,54,62,30,30,40,71,45,42,88,15,32,45,34,46,45,99,41,44,32,72,45,32,42,20,82,82,21,36,44,31,31,34,21,20,20,20,42,29,75,30,54,65,46,54,30,30,12,45,45,42,79,15,32,32,25,46,45,99,41,44,32,72,45,32,42,20,82,82,21,36,44,31,31,34,21,20,20,20,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,8yuez76ecj9uhh9m4k2llf5gq,S. Messeguem,Soufiane Messeguem,25.0,Midfielder,Germany,Midfielder,13.0,25.0,3.0,36.0,2.0,3.0,2.0,1.0,5.0,6.0,12.0,5.0,1.0,259.0,2.0,6.0,7.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,70.59,42.86,25.0,0.0,100.0,36.36,33.33,33.33,0.3977297169080124,0.3528474670880266,2.0,0.0,0.0,0.0,2.0,2.0,0.0677419099999999,19.0,4.517374517374518,8.687258687258687,1.0424710424710424,12.50965250965251,0.694980694980695,1.0424710424710424,0.694980694980695,0.3474903474903475,1.7374517374517375,2.0849420849420848,4.1698841698841695,1.7374517374517375,0.3474903474903475,0.694980694980695,2.0849420849420848,2.4324324324324325,0.0,0.3474903474903475,0.3474903474903475,0.0,0.694980694980695,0.0,0.3474903474903475,0.0,70.59,42.86,25.0,0.0,100.0,36.36,33.33,33.33,0.1382072375356027,0.1226110889495073,0.694980694980695,0.0,0.0,0.0,0.694980694980695,0.694980694980695,0.0235396598455598,6.602316602316602,CM/AM,24,24,67,14,67,57,29,21,55,62,60,95,81,60,43,86,14,26,50,52,62,36,48,24,14,38,62,14,93,10,64,17,57,67,76,7,7,14,19,19,19,24,5,5,67,5,57,48,24,10,57,52,38,90,76,52,29,76,14,14,43,52,62,36,38,24,14,38,62,14,93,10,64,17,52,48,67,7,7,14,10,19,19,10,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,9epqc9jcj8ooissi177o2qc8a,Rúben Pereira,Rúben Filipe Gomes Pereira,28.0,Defender,Portugal,Defender,64.0,10.0,0.0,74.0,4.0,0.0,3.0,3.0,0.0,0.0,5.0,6.0,1.0,118.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,96.1,0.0,0.0,0.0,66.67,50.0,66.67,100.0,0.4454188038183783,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.04834674,39.0,48.813559322033896,7.627118644067797,0.0,56.440677966101696,3.0508474576271185,0.0,2.288135593220339,2.288135593220339,0.0,0.0,3.8135593220338975,4.576271186440678,0.7627118644067796,1.5254237288135593,3.0508474576271185,0.0,0.0,0.7627118644067796,1.5254237288135593,0.0,0.0,0.0,0.0,0.0,96.1,0.0,0.0,0.0,66.67,50.0,66.67,100.0,0.3397262063021529,0.0,0.0,0.0,0.0,0.0,0.7627118644067796,1.5254237288135593,0.0368746322033898,29.74576271186441,CB,41,10,5,28,52,30,89,95,30,30,24,20,95,99,88,15,32,45,55,46,45,49,41,44,98,5,45,32,95,34,82,82,98,36,44,31,31,34,45,50,40,57,78,10,5,50,88,30,100,100,30,30,50,35,100,100,100,15,32,65,72,46,45,49,41,44,98,5,45,32,95,34,82,82,100,36,44,31,31,34,42,52,45,65,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,a9f7xwldytd5pztz8r1ymmyhg,L. Gohi,Lorougnon Gohi,22.0,Attacker,Côte d'Ivoire,Striker,3.0,14.0,0.0,15.0,2.0,3.0,2.0,2.0,5.0,5.0,9.0,2.0,0.0,101.0,1.0,6.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,65.22,0.0,40.0,40.0,50.0,50.0,66.67,75.0,0.1242137798573074,0.256358590887892,1.0,5.0,0.1348403599999999,1.0,1.0,7.0,0.4094524199999998,9.0,2.6732673267326734,12.475247524752476,0.0,13.366336633663366,1.7821782178217822,2.6732673267326734,1.7821782178217822,1.7821782178217822,4.455445544554456,4.455445544554456,8.01980198019802,1.7821782178217822,0.0,0.8910891089108911,5.346534653465347,0.8910891089108911,1.7821782178217822,2.6732673267326734,0.0,0.0,1.7821782178217822,0.0,0.0,0.0,65.22,0.0,40.0,40.0,50.0,50.0,66.67,75.0,0.1106855464075016,0.2284383483159433,0.8910891089108911,4.455445544554456,0.1201547762376236,0.8910891089108911,0.8910891089108911,6.237623762376238,0.3648585920792077,8.01980198019802,ST,12,43,24,27,46,64,26,34,73,70,57,64,26,46,39,22,73,88,31,51,86,41,24,26,32,24,89,65,73,73,91,68,30,68,47,80,76,58,46,93,86,53,22,81,24,62,62,95,43,59,95,95,86,92,26,65,76,32,92,100,31,51,97,41,24,26,32,24,89,65,73,73,91,68,32,89,70,95,92,70,65,100,100,86,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,bd0g0d91h9zyiyk8mktnmfpt6,Á. Zamora,Álvaro Zamora,24.0,Attacker,Costa Rica,Striker,15.0,24.0,3.0,39.0,1.0,1.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,169.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.47,75.0,0.0,0.0,50.0,46.67,50.0,0.0,0.1505223779616559,0.077450912720478,1.0,2.0,0.03992476,1.0,6.0,6.0,0.1369582,14.0,7.988165680473373,12.781065088757396,1.5976331360946745,20.76923076923077,0.5325443786982249,0.5325443786982249,1.0650887573964498,1.0650887573964498,0.5325443786982249,1.5976331360946745,3.727810650887574,0.0,0.0,0.5325443786982249,1.5976331360946745,3.195266272189349,0.0,0.0,0.5325443786982249,0.0,0.0,0.0,0.0,0.0,76.47,75.0,0.0,0.0,50.0,46.67,50.0,0.0,0.0801598462517694,0.0412460481943373,0.5325443786982249,1.0650887573964498,0.0212617065088757,0.5325443786982249,3.195266272189349,3.195266272189349,0.0729363195266272,7.455621301775148,LW,50,38,75,50,56,25,19,56,19,25,38,25,50,44,44,62,19,25,44,56,25,44,12,25,38,81,25,19,81,62,81,25,25,12,12,44,25,56,81,62,50,44,50,50,75,50,62,25,12,62,12,25,38,25,50,38,38,88,19,25,50,56,25,44,12,25,38,81,25,19,81,62,81,25,25,12,12,38,25,50,88,75,50,62,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,bozw8m0wz31bzaa7jyktg3cic,João Guilherme,João Guilherme de Sousa Crispim,25.0,Midfielder,Brazil,Midfielder,23.0,26.0,0.0,47.0,6.0,2.0,9.0,6.0,10.0,11.0,31.0,4.0,0.0,270.0,1.0,13.0,10.0,7.0,5.0,1.0,0.0,2.0,0.0,3.0,2.0,79.66,0.0,50.0,70.0,11.11,59.62,40.0,62.5,0.8578717188169027,0.1136057184476475,2.0,4.0,0.12726997,2.0,1.0,3.0,0.08054752,17.0,7.666666666666667,8.666666666666666,0.0,15.666666666666666,2.0,0.6666666666666666,3.0,2.0,3.333333333333333,3.6666666666666665,10.333333333333334,1.3333333333333333,0.0,0.3333333333333333,4.333333333333333,3.333333333333333,2.333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,79.66,0.0,50.0,70.0,11.11,59.62,40.0,62.5,0.2859572396056342,0.0378685728158825,0.6666666666666666,1.3333333333333333,0.0424233233333333,0.6666666666666666,0.3333333333333333,1.0,0.0268491733333333,5.666666666666667,RM/RCM,75,25,38,25,100,25,100,100,50,50,100,100,62,88,75,75,50,100,62,62,75,38,88,50,75,38,100,100,75,50,100,50,100,25,38,25,25,25,38,25,25,25,50,25,38,25,100,25,100,100,50,50,100,100,62,75,50,75,50,100,50,62,75,38,75,25,75,38,100,100,75,50,100,50,100,25,25,25,25,25,25,25,25,25,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,cczre91rv404v648514qs00es,Alejandro Mestanza,Alejandro Mestanza,21.0,Midfielder,Spain,Midfielder,48.0,36.0,4.0,84.0,3.0,2.0,1.0,0.0,6.0,6.0,15.0,0.0,0.0,174.0,0.0,2.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,86.6,57.14,0.0,50.0,0.0,60.0,75.0,83.33,0.03241333423453,0.2035121325472254,1.0,2.0,0.07488208,0.0,5.0,4.0,0.1108448599999999,48.0,24.82758620689655,18.620689655172413,2.0689655172413794,43.44827586206897,1.5517241379310345,1.0344827586206895,0.5172413793103449,0.0,3.103448275862069,3.103448275862069,7.758620689655173,0.0,0.0,0.0,1.0344827586206895,1.5517241379310345,1.5517241379310345,2.586206896551724,1.0344827586206895,0.0,0.0,0.0,0.5172413793103449,0.0,86.6,57.14,0.0,50.0,0.0,60.0,75.0,83.33,0.0167655177075155,0.1052648961451165,0.5172413793103449,1.0344827586206895,0.0387321103448275,0.0,2.586206896551724,2.0689655172413794,0.057333548275862,24.82758620689655,DM/CM,63,56,54,64,66,70,43,34,97,97,77,11,47,39,69,60,91,86,53,50,43,49,60,33,49,59,43,63,39,81,97,86,31,83,61,54,83,24,43,37,46,69,86,63,66,74,60,74,40,34,100,100,91,11,47,39,69,66,100,89,54,50,43,49,66,33,49,59,43,63,39,81,97,86,34,86,69,57,86,24,46,40,46,80,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,duxfzjk9pqglkcvbapryvveju,Robinho,Ricardo Alexandre Ribeiro Vieira,29.0,Attacker,Portugal,Striker,62.0,26.0,8.0,85.0,5.0,3.0,0.0,0.0,5.0,5.0,21.0,6.0,0.0,270.0,0.0,1.0,3.0,3.0,4.0,5.0,1.0,3.0,1.0,0.0,0.0,75.89,44.44,33.33,60.0,0.0,58.33,55.56,40.0,0.0,0.4014951256525709,0.0,2.0,0.0409104899999999,1.0,5.0,8.0,0.54630142,28.0,20.666666666666668,8.666666666666666,2.6666666666666665,28.33333333333333,1.6666666666666667,1.0,0.0,0.0,1.6666666666666667,1.6666666666666667,7.0,2.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,75.89,44.44,33.33,60.0,0.0,58.33,55.56,40.0,0.0,0.1338317085508569,0.0,0.6666666666666666,0.0136368299999999,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.1821004733333333,9.333333333333334,RW,100,50,100,100,88,62,12,12,56,56,100,88,44,19,12,88,75,94,100,100,100,88,31,31,75,62,81,88,19,100,100,44,12,88,38,31,38,62,75,81,88,88,100,38,100,100,75,38,12,12,56,56,100,88,44,19,12,62,62,75,100,100,100,75,31,31,75,62,81,88,19,100,100,44,12,62,38,25,25,62,62,50,75,88,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,f2snfr7qvzltfng9r3bmp20o9,André Clóvis,André Clóvis Silva Filho,28.0,Attacker,Brazil,Striker,7.0,6.0,1.0,13.0,3.0,2.0,6.0,6.0,1.0,1.0,5.0,3.0,2.0,208.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,33.33,0.0,0.0,66.67,25.0,33.33,0.0,0.7147626258667024,0.1546779749397797,0.0,0.0,0.0,0.0,1.0,1.0,0.0291786399999998,5.0,3.028846153846154,2.5961538461538463,0.4326923076923077,5.625000000000001,1.2980769230769231,0.8653846153846154,2.5961538461538463,2.5961538461538463,0.4326923076923077,0.4326923076923077,2.1634615384615388,1.2980769230769231,0.8653846153846154,1.7307692307692308,2.5961538461538463,1.2980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326923076923077,65.0,33.33,0.0,0.0,66.67,25.0,33.33,0.0,0.309272290038477,0.0669279699258662,0.0,0.0,0.0,0.0,0.4326923076923077,0.4326923076923077,0.0126253730769229,2.1634615384615388,ST,35,14,54,22,59,51,69,81,20,18,27,81,89,86,39,54,19,15,31,51,35,41,24,58,27,49,35,19,91,11,42,15,68,51,16,15,15,23,46,35,32,27,27,8,54,8,57,41,68,78,19,14,14,81,81,84,30,49,19,15,31,51,35,41,24,57,27,49,35,19,91,11,42,15,70,46,16,15,15,23,43,30,30,19,Liga Portugal
Nacional,99xu9ofwhlbp0lg1j4eiplgrg,12oo0syi7lvkf1ydzhjd607op,Filipe Soares,Filipe Miguel Barros Soares,27.0,Midfielder,Portugal,Midfielder,43.0,42.0,7.0,82.0,3.0,3.0,3.0,2.0,4.0,4.0,17.0,1.0,0.0,209.0,0.0,7.0,7.0,2.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,82.0,70.0,33.33,50.0,0.0,56.67,42.86,60.0,0.4483840602223438,0.3113838099469265,0.0,6.0,0.13243298,2.0,5.0,4.0,0.1541282899999999,42.0,18.51674641148325,18.086124401913874,3.014354066985646,35.31100478468899,1.2918660287081338,1.2918660287081338,1.2918660287081338,0.8612440191387559,1.7224880382775118,1.7224880382775118,7.320574162679425,0.4306220095693779,0.0,0.0,3.014354066985646,3.014354066985646,0.8612440191387559,1.2918660287081338,1.7224880382775118,0.0,1.2918660287081338,0.0,0.4306220095693779,0.4306220095693779,82.0,70.0,33.33,50.0,0.0,56.67,42.86,60.0,0.1930840450718226,0.1340887219867147,0.0,2.583732057416268,0.0570285559808612,0.8612440191387559,2.15311004784689,1.7224880382775118,0.0663710339712918,18.086124401913874,CM/AM,90,67,95,79,93,57,45,48,48,48,88,36,33,14,52,86,57,60,93,52,76,36,48,60,29,79,71,55,14,90,86,50,62,52,19,83,71,52,57,36,43,90,95,57,100,81,95,52,48,43,52,48,90,33,33,14,52,90,62,67,95,52,76,36,48,57,29,79,71,55,14,90,86,50,67,52,19,86,71,48,57,38,38,95,Liga Portugal
Nacional,99xu9ofwhlbp0lg1j4eiplgrg,1b32j0lqi7ggcabdra4tygxzo,M. Jensen,Markus Jensen,21.0,Midfielder,Denmark,Midfielder,21.0,27.0,1.0,47.0,2.0,1.0,2.0,1.0,14.0,14.0,16.0,4.0,0.0,250.0,0.0,5.0,6.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,77.05,25.0,16.67,21.43,0.0,48.48,40.0,80.0,0.1474335624724614,0.0767272362061799,1.0,2.0,0.06468513,2.0,4.0,3.0,0.13431154,23.0,7.56,9.72,0.36,16.92,0.72,0.36,0.72,0.36,5.04,5.04,5.76,1.44,0.0,0.0,1.8,2.16,1.08,1.44,0.36,0.0,0.36,0.0,0.36,0.36,77.05,25.0,16.67,21.43,0.0,48.48,40.0,80.0,0.0530760824900861,0.0276218050342247,0.36,0.72,0.0232866467999999,0.72,1.44,1.08,0.0483521544,8.280000000000001,LM/LCM,50,50,25,50,75,62,62,50,100,100,88,75,38,25,75,100,100,88,50,62,88,62,75,88,25,25,75,50,25,50,50,62,50,50,88,88,100,62,62,25,75,50,25,25,25,25,75,50,75,50,100,100,100,50,38,25,75,100,100,100,50,62,75,62,50,75,25,25,75,50,25,50,50,62,50,50,75,75,75,50,25,25,50,50,Liga Portugal
