Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total duels won_Total,total mins played,total touches in opposition box_Total,total assists_Total,total att assist_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total goals_Total,total ontarget attempt_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total interception_Total,total big chances saved_Total,total accurate cross_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total duels won_p90,total touches in opposition box_p90,total assists_p90,total att assist_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total interception_p90,total big chances saved_p90,total accurate cross_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total duels won_TotalPR,total touches in opposition box_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total accurate cross_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total duels won_p90PR,total touches in opposition box_p90PR,total assists_p90PR,total att assist_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total interception_p90PR,total big chances saved_p90PR,total accurate cross_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Crvena zvezda,81lpho34qr3dad0xzalq0abja,2v3bbqm0o4jx6r3zrmlzh1cyd,M. Ivanić,Mirko Ivanic,32.0,Midfielder,Montenegro,Midfielder,20.0,48.0,6.0,67.0,1.0,6.0,3.0,4.0,197.0,11.0,1.0,5.0,3.0,0.0,3.0,5.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,78.82,50.0,100.0,100.0,50.0,66.67,50.0,0.0,0.6228183096354588,0.4879778450355231,1.0,8.0,0.2074814599999999,3.0,14.0,19.0,0.55635784,37.0,9.137055837563452,21.92893401015228,2.741116751269036,30.60913705583756,0.4568527918781725,2.741116751269036,1.3705583756345177,1.8274111675126905,5.025380710659898,0.4568527918781725,2.284263959390863,1.3705583756345177,0.0,1.3705583756345177,2.284263959390863,1.3705583756345177,0.0,1.3705583756345177,0.0,1.3705583756345177,0.0,0.0,0.0,0.4568527918781725,0.0,78.82,50.0,100.0,100.0,50.0,66.67,50.0,0.0,0.2845362835898035,0.2229340408791729,0.4568527918781725,3.654822335025381,0.0947884842639593,1.3705583756345177,6.395939086294415,8.680203045685278,0.2541736324873096,16.903553299492383,LM/LCM,69,69,88,62,44,62,62,25,69,94,62,88,25,50,50,75,38,69,12,62,19,25,56,69,56,50,44,100,94,81,88,62,19,62,62,31,62,62,62,100,100,88,75,62,88,88,75,50,62,62,12,88,100,75,88,25,62,75,88,38,75,12,75,19,25,56,75,56,50,44,100,94,81,88,62,19,88,75,38,75,75,75,88,88,100,88,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,3brp9vcz7bja0nfic48rx4p1x,Rodrigão,Rodrigo de Souza Prado,30.0,Defender,Brazil,Defender,47.0,24.0,2.0,71.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.42,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,24.0,2.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.42,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,26,23,10,27,6,15,23,2,31,48,20,32,34,17,15,8,48,33,10,25,11,23,51,38,51,92,24,38,25,33,4,9,11,16,23,31,15,15,23,9,10,9,9,92,81,40,92,6,15,23,2,67,48,20,32,34,17,15,28,48,33,10,25,11,57,51,38,51,92,24,38,25,33,4,9,11,16,23,31,15,15,23,9,10,9,9,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,3oub3l3mryzafp6wobgjbgxjp,A. Katai,Aleksandar Katai,35.0,Midfielder,Serbia,Midfielder,10.0,45.0,2.0,55.0,3.0,14.0,10.0,9.0,219.0,28.0,3.0,9.0,4.0,1.0,6.0,6.0,2.0,1.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,68.75,66.67,0.0,33.33,64.29,37.5,50.0,100.0,1.5504438657108282,0.7115382233337826,4.0,8.0,0.2323020499999999,2.0,8.0,9.0,0.61089346,28.0,4.109589041095891,18.493150684931507,0.8219178082191781,22.6027397260274,1.2328767123287672,5.753424657534247,4.109589041095891,3.6986301369863015,11.506849315068497,1.2328767123287672,3.6986301369863015,1.6438356164383563,0.4109589041095891,2.4657534246575343,2.4657534246575343,0.8219178082191781,0.4109589041095891,3.6986301369863015,1.2328767123287672,0.8219178082191781,0.4109589041095891,0.0,0.0,0.0,0.0,68.75,66.67,0.0,33.33,64.29,37.5,50.0,100.0,0.6371687119359568,0.2924129684933353,1.6438356164383563,3.2876712328767126,0.0954665958904109,0.8219178082191781,3.2876712328767126,3.6986301369863015,0.2510521068493151,11.506849315068497,CM/AM,9,43,18,32,68,96,96,29,96,96,80,68,39,71,66,62,73,100,29,62,21,9,52,20,50,7,59,20,43,89,21,84,91,96,75,70,57,57,43,48,39,82,38,7,64,18,36,79,100,96,29,100,100,89,64,43,75,68,68,86,100,43,68,29,9,52,20,50,7,59,20,43,89,21,84,91,96,82,75,75,82,50,50,54,89,39,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,40ht1vwlzsf29ipe2rlyd59uc,M. Gashtarov,Matej Gashtarov,19.0,Midfielder,North Macedonia,Midfielder,22.0,22.0,1.0,44.0,2.0,0.0,0.0,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,50.0,0.0,0.0,0.0,57.14,66.67,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,1.0,44.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,50.0,0.0,0.0,0.0,57.14,66.67,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,23,17,8,19,21,12,25,4,17,44,13,13,29,8,8,25,42,25,6,12,8,6,52,27,52,40,38,27,12,25,60,63,21,12,13,13,10,10,17,8,10,8,8,85,81,17,85,75,12,25,15,17,44,13,13,29,8,8,71,42,25,6,12,31,6,52,27,52,40,38,27,12,25,60,63,21,12,13,13,10,10,17,8,10,8,8,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,Franklin Tebo Uchenna,26.0,Defender,Nigeria,Defender,70.0,35.0,4.0,105.0,4.0,0.0,0.0,6.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,94.59,80.0,0.0,0.0,0.0,85.71,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666666666666,23.33333333333333,2.6666666666666665,70.0,2.6666666666666665,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,94.59,80.0,0.0,0.0,0.0,85.71,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,41,46,31,43,32,15,23,19,11,48,20,32,34,17,15,8,48,33,29,25,32,40,51,38,51,96,92,38,25,33,100,9,94,16,23,31,15,15,23,9,10,9,9,90,79,65,90,61,15,23,33,11,48,20,32,34,17,15,14,48,33,46,25,56,76,51,38,51,96,92,38,25,33,100,9,94,16,23,31,15,15,23,9,10,9,9,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,55pnhqsxzsj97rrp45trw5wq1,M. Abu Fani,Mohamed Abu Fani,28.0,Midfielder,Israel,Midfielder,73.0,128.0,22.0,194.0,1.0,8.0,3.0,7.0,259.0,9.0,1.0,10.0,5.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,7.0,0.0,88.58,70.97,41.18,0.0,25.0,46.67,50.0,50.0,0.5092598362175139,1.132141365795427,5.0,12.0,0.2902902499999999,2.0,36.0,44.0,1.3745802300000003,103.0,25.366795366795365,44.47876447876448,7.644787644787645,67.41312741312741,0.3474903474903475,2.77992277992278,1.0424710424710424,2.4324324324324325,3.1274131274131274,0.3474903474903475,3.474903474903475,1.7374517374517375,1.38996138996139,0.0,0.0,0.694980694980695,0.0,0.694980694980695,1.38996138996139,0.0,0.3474903474903475,0.694980694980695,0.0,2.4324324324324325,0.0,88.58,70.97,41.18,0.0,25.0,46.67,50.0,50.0,0.1769628774501013,0.3934081966084495,1.7374517374517375,4.1698841698841695,0.1008730598455598,0.694980694980695,12.50965250965251,15.28957528957529,0.4776533617760619,35.79150579150579,CM/AM,91,93,96,93,32,64,61,14,66,77,86,77,82,4,4,62,29,46,45,11,21,54,52,89,50,89,71,93,11,29,50,84,32,46,93,77,89,82,43,96,96,96,93,100,93,100,100,29,71,64,11,71,82,86,71,93,4,4,61,29,46,50,11,21,57,52,89,50,89,71,93,11,29,50,84,32,57,93,82,89,86,39,96,100,100,96,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,5v56mooqawkgwrfuhkkp9x7qi,L. Loizou,Loizos Loizou,23.0,Attacker,Cyprus,Striker,24.0,45.0,3.0,69.0,0.0,8.0,8.0,8.0,201.0,19.0,0.0,4.0,0.0,2.0,8.0,8.0,0.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,83.13,75.0,0.0,37.5,37.5,40.0,0.0,100.0,0.7508058572971767,0.4569732156592229,4.0,7.0,0.44994098,4.0,5.0,10.0,0.4388636599999998,27.0,10.746268656716415,20.149253731343283,1.343283582089552,30.8955223880597,0.0,3.582089552238806,3.582089552238806,3.582089552238806,8.507462686567164,0.0,1.791044776119403,0.0,0.8955223880597015,3.582089552238806,3.582089552238806,0.0,0.4477611940298507,1.343283582089552,1.791044776119403,1.343283582089552,0.4477611940298507,0.0,0.0,0.0,0.0,83.13,75.0,0.0,37.5,37.5,40.0,0.0,100.0,0.3361817271479896,0.2046148726832341,1.791044776119403,3.134328358208955,0.2014661104477612,1.791044776119403,2.238805970149253,4.477611940298507,0.1965061164179103,12.08955223880597,RW,93,75,61,89,11,75,100,29,93,39,61,11,61,64,61,21,82,75,71,39,43,18,54,14,54,79,79,14,21,68,36,18,96,71,64,71,64,93,86,71,86,64,79,100,93,57,93,11,93,93,29,93,39,50,11,71,86,71,21,93,86,86,64,50,18,54,14,54,79,79,14,21,68,36,18,96,93,86,86,71,100,93,71,71,79,93,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,6kge6vcoa9ocnh6tb8qznfzkl,M. Veljković,Milos Veljkovic,30.0,Defender,Serbia,Defender,74.0,52.0,4.0,126.0,7.0,0.0,0.0,9.0,180.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,88.73,50.0,0.0,100.0,0.0,42.86,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,26.0,2.0,63.0,3.5,0.0,0.0,4.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,3.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,88.73,50.0,0.0,100.0,0.0,42.86,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,44,62,31,50,52,15,23,30,31,48,52,32,34,53,51,29,48,33,29,67,11,23,51,38,51,77,68,38,84,33,21,34,11,16,23,31,15,15,23,9,10,9,9,79,85,40,85,86,15,23,46,44,48,65,32,34,69,68,28,48,33,39,82,11,26,51,38,51,77,68,38,84,33,21,34,11,16,23,31,15,15,23,9,10,9,9,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,7nv0wf9kmny9w7p36ahdsitat,T. Elšnik,Timi Max Elsnik,28.0,Midfielder,Slovenia,Midfielder,60.0,42.0,7.0,102.0,6.0,4.0,3.0,12.0,215.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,90.27,87.5,0.0,0.0,0.0,54.55,75.0,16.67,0.4241853765043415,0.0961952983698176,0.0,2.0,0.04797389,1.0,8.0,12.0,0.31385999,55.0,25.116279069767444,17.58139534883721,2.9302325581395348,42.69767441860465,2.511627906976744,1.6744186046511629,1.255813953488372,5.023255813953488,1.6744186046511629,0.0,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.0,0.0,0.0,0.0,0.4186046511627907,1.255813953488372,0.0,0.0,0.0,90.27,87.5,0.0,0.0,0.0,54.55,75.0,16.67,0.1775659715599569,0.040267799317598,0.0,0.8372093023255814,0.020082093488372,0.4186046511627907,3.3488372093023258,5.023255813953488,0.1313832516279069,23.02325581395349,CM/AM,82,38,62,57,89,36,61,45,30,34,7,12,39,27,25,62,29,11,5,11,21,71,52,20,50,100,89,20,11,11,71,100,11,43,7,7,12,9,29,48,61,39,64,96,50,75,89,100,36,79,68,32,34,7,18,46,25,25,71,29,11,5,11,32,89,52,20,50,100,89,20,11,11,71,100,11,61,11,7,14,14,29,54,75,54,89,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,86w42766wl1zw6u52u3hnni1g,M. Strika,Matej Strika,17.0,Defender,Serbia,Defender,33.0,27.0,2.0,60.0,2.0,0.0,0.0,6.0,90.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,89.55,50.0,0.0,66.67,0.0,60.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,27.0,2.0,60.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,89.55,50.0,0.0,66.67,0.0,60.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,38,19,19,19,28,12,19,12,25,44,28,25,34,38,34,6,44,31,9,56,6,9,53,12,53,100,84,12,75,31,66,75,6,12,12,25,6,6,12,6,6,6,6,94,100,44,94,75,12,19,94,47,44,75,25,34,100,94,6,44,31,9,100,6,9,53,12,53,100,84,12,75,31,66,75,6,12,12,25,6,6,12,6,6,6,6,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,Bruno Duarte da Silva,30.0,Attacker,Brazil,Striker,8.0,15.0,0.0,21.0,4.0,9.0,8.0,6.0,139.0,12.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,77.78,0.0,33.33,0.0,55.56,40.0,44.44,100.0,1.1640948992752729,0.3774140171092938,0.0,2.0,0.07059961,1.0,1.0,1.0,0.33338697,11.0,5.179856115107913,9.712230215827338,0.0,13.597122302158272,2.5899280575539567,5.827338129496403,5.179856115107913,3.884892086330935,7.76978417266187,1.9424460431654675,2.5899280575539567,0.6474820143884892,1.2949640287769784,0.6474820143884892,0.6474820143884892,0.6474820143884892,0.6474820143884892,3.237410071942446,0.6474820143884892,0.0,0.6474820143884892,0.0,0.0,1.2949640287769784,0.0,77.78,0.0,33.33,0.0,55.56,40.0,44.44,100.0,0.7537305103221191,0.2443687880563772,0.0,1.2949640287769784,0.0457119776978417,0.6474820143884892,0.6474820143884892,0.6474820143884892,0.2158620669064748,7.122302158273381,ST,27,23,13,21,49,60,77,10,49,100,56,37,53,14,14,33,70,92,5,17,35,28,51,77,51,79,13,85,17,95,31,59,85,77,72,13,28,37,36,23,17,79,29,63,56,13,49,65,98,100,21,93,100,91,60,86,17,17,49,91,100,12,17,67,28,51,88,51,79,13,85,17,95,31,59,85,95,98,13,47,58,53,30,28,93,71,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,8fuik0j594o6zdppn2jaxrzmc,S. Gudelj,Stefan Gudelj,20.0,Defender,Serbia,Defender,109.0,20.0,2.0,129.0,12.0,1.0,1.0,17.0,196.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,92.14,25.0,0.0,0.0,0.0,70.83,85.71,50.0,0.1379284753582869,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.10528919,84.0,50.05102040816327,9.183673469387756,0.9183673469387756,59.234693877551024,5.510204081632653,0.4591836734693878,0.4591836734693878,7.806122448979592,0.4591836734693878,0.0,0.0,0.0,0.0,0.4591836734693878,0.4591836734693878,6.887755102040817,0.0,0.0,0.4591836734693878,0.0,0.9183673469387756,2.295918367346939,0.0,0.0,0.0,92.14,25.0,0.0,0.0,0.0,70.83,85.71,50.0,0.0633345039910501,0.0,0.0,0.0,0.0,0.0,0.4591836734693878,0.9183673469387756,0.0483470770408163,38.57142857142858,CB,68,19,10,54,76,41,57,59,31,48,20,32,34,53,51,57,48,33,29,25,50,72,51,38,51,90,10,38,25,33,90,98,44,56,23,31,15,15,23,23,22,27,56,96,27,6,83,100,42,65,100,38,48,20,32,34,62,60,88,48,33,31,25,71,96,51,38,51,90,10,38,25,33,90,98,44,67,23,31,15,15,23,23,23,23,92,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,8s5u921me5pvsfyvysjgpu2qy,M. Cham,Muhammed Cham,25.0,Midfielder,Austria,Midfielder,24.0,35.0,9.0,55.0,0.0,2.0,1.0,10.0,118.0,7.0,0.0,8.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,4.0,0.0,77.46,75.0,40.0,100.0,50.0,71.43,0.0,66.67,0.1971802590762209,0.7493234736543005,0.0,5.0,0.11601165,0.0,6.0,10.0,0.39262766,19.0,18.30508474576272,26.694915254237287,6.864406779661017,41.94915254237288,0.0,1.5254237288135593,0.7627118644067796,7.627118644067797,5.338983050847458,0.0,6.101694915254237,0.7627118644067796,0.0,1.5254237288135593,1.5254237288135593,0.0,0.0,0.7627118644067796,3.8135593220338975,1.5254237288135593,1.5254237288135593,0.7627118644067796,0.0,3.0508474576271185,0.0,77.46,75.0,40.0,100.0,50.0,71.43,0.0,66.67,0.1503917230242362,0.571517903634636,0.0,3.8135593220338975,0.0884834618644067,0.0,4.576271186440678,7.627118644067797,0.2994617745762711,14.491525423728811,CM/AM,41,23,77,32,9,9,27,38,48,34,71,12,14,27,25,18,29,27,57,62,46,30,52,80,50,32,79,82,96,73,100,11,59,18,79,7,36,29,12,34,46,57,14,86,89,96,86,9,32,50,89,86,34,96,36,14,61,61,18,29,54,93,86,93,64,52,96,50,32,79,82,96,73,100,11,59,46,100,7,82,71,12,75,89,93,57,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,96hvhj2ridutroyglbiwotxck,J. Enem,Jay Enem,23.0,Attacker,Netherlands,Striker,3.0,7.0,0.0,10.0,5.0,6.0,5.0,8.0,104.0,8.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,0.0,0.0,0.0,33.33,61.54,83.33,0.0,0.9584347200881448,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.02318042,1.0,2.5961538461538463,6.057692307692308,0.0,8.653846153846155,4.3269230769230775,5.1923076923076925,4.3269230769230775,6.923076923076923,6.923076923076923,0.0,0.0,0.8653846153846154,1.7307692307692308,0.8653846153846154,0.8653846153846154,0.0,0.8653846153846154,1.7307692307692308,2.5961538461538463,0.0,0.0,0.0,0.0,0.0,0.0,71.43,0.0,0.0,0.0,33.33,61.54,83.33,0.0,0.8294146616147408,0.0,0.8653846153846154,0.0,0.0,0.0,0.0,0.8653846153846154,0.0200599788461538,0.8653846153846154,ST,6,8,13,5,55,37,51,22,23,42,6,37,53,14,14,10,70,45,28,17,10,28,51,33,51,48,13,33,17,62,98,100,10,67,9,34,8,8,14,7,17,12,7,14,14,13,9,81,95,95,77,88,42,6,63,93,30,30,10,98,93,79,17,10,28,51,33,51,48,13,33,17,62,98,100,10,98,9,65,8,8,14,7,35,28,7,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,9c3yhbh6ggjj7o4gkbxqlfazu,S. Eraković,Strahinja Erakovic,25.0,Defender,Serbia,Defender,99.0,61.0,5.0,160.0,5.0,1.0,1.0,11.0,182.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,98.16,100.0,0.0,100.0,0.0,73.33,83.33,66.67,0.1455033787054819,0.0517104431472917,0.0,2.0,0.03805479,0.0,14.0,16.0,0.3107768799999998,125.0,48.95604395604396,30.164835164835164,2.4725274725274726,79.12087912087912,2.4725274725274726,0.4945054945054945,0.4945054945054945,5.43956043956044,0.989010989010989,0.0,0.4945054945054945,0.0,0.0,0.4945054945054945,0.4945054945054945,1.978021978021978,0.0,0.0,0.989010989010989,0.4945054945054945,0.989010989010989,0.989010989010989,0.0,0.0,0.0,98.16,100.0,0.0,100.0,0.0,73.33,83.33,66.67,0.0719522202389745,0.0255710982596497,0.0,0.989010989010989,0.0188183027472527,0.0,6.923076923076923,7.912087912087912,0.1536808747252746,61.81318681318682,CB,56,70,42,65,39,41,57,36,48,48,52,32,34,53,51,16,48,33,49,67,50,40,51,38,51,98,99,38,84,33,94,96,67,58,50,31,46,44,23,74,77,54,75,94,96,58,94,52,46,67,69,62,48,58,32,34,65,62,10,48,33,67,77,73,50,51,38,51,98,99,38,84,33,94,96,67,79,54,31,62,54,23,94,94,85,100,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,eb85cx88u62iezjp4i0jjbg9g,V. Kostov,Vasilije Kostov,18.0,Midfielder,Serbia,Midfielder,19.0,22.0,1.0,40.0,1.0,10.0,6.0,4.0,193.0,13.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,76.92,33.33,33.33,50.0,50.0,44.44,33.33,100.0,1.0496184106369,0.2195783198482604,1.0,3.0,0.1085665,2.0,1.0,0.0,0.0320125299999999,11.0,8.860103626943005,10.259067357512954,0.466321243523316,18.652849740932645,0.466321243523316,4.663212435233161,2.7979274611398965,1.865284974093264,6.062176165803109,0.466321243523316,1.3989637305699485,1.865284974093264,0.932642487046632,0.932642487046632,0.932642487046632,0.466321243523316,1.3989637305699485,2.3316062176165806,0.0,0.466321243523316,0.932642487046632,0.466321243523316,0.0,0.466321243523316,0.0,76.92,33.33,33.33,50.0,50.0,44.44,33.33,100.0,0.4894593624731658,0.1023940351624012,0.466321243523316,1.3989637305699485,0.050626865284974,0.932642487046632,0.466321243523316,0.0,0.0149281227979274,5.129533678756477,CM/AM,36,11,9,12,32,71,86,4,79,77,21,68,57,27,25,45,98,91,5,36,46,30,52,52,50,21,11,71,71,73,46,45,91,89,25,25,23,25,43,5,4,4,7,46,14,11,21,39,93,93,7,89,89,32,79,75,36,36,50,100,96,5,57,57,39,52,61,50,21,11,71,71,73,46,45,91,93,36,39,29,39,61,4,4,4,7,Serbian SuperLeague
